WS.partner,source,Year,Location,Rep,Plot,Row,Col,Block,GID,Sowing.Date,Origin,Height,Awnedness,Accession_number,WinterSurvival_Visual,VinterSurvival_TPVP_Index,Lodging_T,HD_Date,Anthesis.Date,DTH,DTA,DTM,Anther.extrusion.anther.retention,FHB1,FHB2,FHB3,FHB4,FHB5,FHB6,FHB1Date,FHB2Date,FHB3Date,FHB4Date,FHB5Date,FHB6Date,DFHB1,DFHB2,DFHB3,DFHB4,DFHB5,DFHB6,DON,AUDPC,FHB0,DFHB0,DFHBmax,AUDPC_std
BOKU,Boku_FHB,2020,Tulln,1,1055,18,4,NA,TS104,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,6.86,0.5,5,20,50,80,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,764.5,0,0,30,25.5
BOKU,Boku_FHB,2020,Tulln,1,1056,17,4,NA,TS077,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-15,2020-05-20,207,212,NA,0.86,0,0,1,5,15,25,2020-05-30,2020-06-03,2020-06-07,2020-06-11,2020-06-15,2020-06-19,10,14,18,22,26,30,NA,132,0,0,30,4.4
BOKU,Boku_FHB,2020,Tulln,1,1057,16,4,NA,TS196,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,5.14,0.1,1,5,25,80,80,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,594.9,0,0,30,19.8
BOKU,Boku_FHB,2020,Tulln,1,1058,15,4,NA,TS102,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,7.29,15,50,90,90,90,100,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,1435,0,0,30,47.8
BOKU,Boku_FHB,2020,Tulln,1,1059,14,4,NA,TS115,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,6.43,0.1,1,10,40,70,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,644.9,0,0,30,21.5
BOKU,Boku_FHB,2020,Tulln,1,1060,13,4,NA,TS132,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,6.86,0.1,5,30,50,80,90,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,780.9,0,0,30,26
BOKU,Boku_FHB,2020,Tulln,1,1061,12,4,NA,TS061,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,1.71,0.1,3,10,30,60,80,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,552.9,0,0,30,18.4
BOKU,Boku_FHB,2020,Tulln,1,1062,11,4,NA,TS035,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-17,2020-05-22,209,214,NA,1.29,0.1,0.1,0.5,10,30,80,2020-06-01,2020-06-05,2020-06-09,2020-06-13,2020-06-17,2020-06-21,10,14,18,22,26,30,NA,322.3,0,0,30,10.7
BOKU,Boku_FHB,2020,Tulln,1,1063,10,4,NA,TS229,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,2.14,NA,15,30,70,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,955,0,0,30,31.8
BOKU,Boku_FHB,2020,Tulln,1,1064,9,4,NA,TS090,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,3.86,0,0.1,2,15,30,50,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,284.4,0,0,30,9.5
BOKU,Boku_FHB,2020,Tulln,1,1065,8,4,NA,TS119,2019-10-21,NA,105,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,3,0.1,1,3,25,60,80,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,510.9,0,0,30,17
BOKU,Boku_FHB,2020,Tulln,1,1066,7,4,NA,TS176,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,2.14,NA,15,40,70,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,975,0,0,30,32.5
BOKU,Boku_FHB,2020,Tulln,1,1067,6,4,NA,TS086,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,5.14,0,0.1,10,40,60,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,580.4,0,0,30,19.3
BOKU,Boku_FHB,2020,Tulln,1,1068,5,4,NA,TS020,2019-10-21,NA,100,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,2.57,NA,1,20,20,50,60,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,449,0,0,30,15
BOKU,Boku_FHB,2020,Tulln,1,1069,4,4,NA,TS009,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,6.43,0.1,5,25,60,70,90,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,770.9,0,0,30,25.7
BOKU,Boku_FHB,2020,Tulln,1,1070,3,4,NA,TS195,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-27,2020-06-01,219,224,NA,4.29,0.5,10,25,80,80,80,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,10,14,18,22,26,30,NA,894.5,0,0,30,29.8
BOKU,Boku_FHB,2020,Tulln,1,1071,2,4,NA,TS039,2019-10-21,NA,70,NA,NA,NA,NA,NA,2020-05-17,2020-05-22,209,214,NA,1.71,0.1,1,5,50,90,100,2020-06-01,2020-06-05,2020-06-09,2020-06-13,2020-06-17,2020-06-21,10,14,18,22,26,30,NA,774.9,0,0,30,25.8
BOKU,Boku_FHB,2020,Tulln,1,1072,1,4,NA,TS091,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,2.14,NA,15,40,70,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,975,0,0,30,32.5
BOKU,Boku_FHB,2020,Tulln,1,1073,1,5,NA,TS205,2019-10-21,NA,75,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,3.43,NA,25,60,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,1145,0,0,30,38.2
