Trait,Scheme,EID,n,rFm1,rFm2,rFm3
SA,20/0,Taula_2018,155,0.3387958078468287,0.43443859542303315,0.45214693054728206
SA,20/0,Taula_2019,155,0.44325400765578943,0.6268685759382788,0.682245353307561
SA,20/11,Balsora_2016,155,0.588126805443824,0.7483146158327004,0.7061375530481383
SA,20/11,Balsora_2017,155,0.5260893126149875,0.6692100027391148,0.6007483404319081
SA,20/11,Porvenir_2020,155,0.44395930719414023,0.57626764280631,0.5685026327781213
SA,20/11,Porvenir_2021,155,0.45037547751770374,0.5448140939904599,0.5000635624971546
SA,20/11,Taula_2018,155,0.3548116920313377,0.4433718647330195,0.43397346953340504
SA,20/11,Taula_2019,155,0.46205055158102926,0.6415465637479032,0.6773217382464223
SA,20/4,Balsora_2016,155,0.5705030035303028,0.740952430435331,0.712443282695659
SA,20/4,Balsora_2017,155,0.5208684128003724,0.6618092717852124,0.6345452278502222
SA,20/4,Porvenir_2020,155,0.4445792070492584,0.5833892509473535,0.5873014155534786
SA,20/4,Porvenir_2021,155,0.4402552400846114,0.5360440847520987,0.5174801724104711
SA,20/4,Taula_2018,155,0.3458370002071824,0.43713489522153426,0.44876371971370865
SA,20/4,Taula_2019,155,0.4575238800716596,0.6344144694417028,0.668641962455285
SA,20/8,Balsora_2016,155,0.5918472210103417,0.7572528549819223,0.6580548173088447
SA,20/8,Balsora_2017,155,0.5489683198615514,0.69168589011404,0.5939073302158369
SA,20/8,Porvenir_2020,155,0.47734774419959897,0.6038375557104987,0.5927473764226102
SA,20/8,Porvenir_2021,155,0.4543467972854344,0.5565431832215122,0.4690593378972004
SA,20/8,Taula_2018,155,0.36558175155924316,0.4533459778785883,0.42418137871817196
SA,20/8,Taula_2019,155,0.48289773982005957,0.6628238546349214,0.6935740634342523
SA,24/0,Balsora_2016,155,0.6006783984149091,0.7348524575021803,0.7162023592080721
SA,24/0,Balsora_2017,155,0.5684105403243321,0.675161773397867,0.6659246205547019
SA,24/0,Porvenir_2020,155,0.48664379951886844,0.5944790655509774,0.6062235830478677
SA,24/0,Porvenir_2021,155,0.4266011525813157,0.5128864948077967,0.4901692346781209
SA,24/0,Taula_2018,155,0.48217751545638965,0.5216398067999489,0.5192171031068918
SA,24/0,Taula_2019,155,0.49014605994784255,0.6170488507923272,0.6701385635412319
SA,24/4,Balsora_2016,155,0.599554348608003,0.7436573023237519,0.6740461746742199
SA,24/4,Balsora_2017,155,0.5619560850160653,0.6840310017761995,0.6384480592649382
SA,24/4,Porvenir_2020,155,0.4920793219535804,0.596402413166855,0.6175343609043216
SA,24/4,Porvenir_2021,155,0.4502488455933177,0.523302552377945,0.4701547059903155
SA,24/4,Taula_2018,155,0.4857651661664202,0.5280178794027682,0.48168147520778837
SA,24/4,Taula_2019,155,0.47121127466431095,0.6184253941595913,0.6773808163517383
SA,24/7,Balsora_2016,155,0.6224493956547182,0.7537820957257985,0.7362043702648461
SA,24/7,Balsora_2017,155,0.5691326224943449,0.6803776936685316,0.6624120790297833
SA,24/7,Porvenir_2020,155,0.48489956274346513,0.5854105244636323,0.6129737441742767
SA,24/7,Porvenir_2021,155,0.4477556150170076,0.5200591616710506,0.5002964310852349
SA,24/7,Taula_2018,155,0.5011575782060366,0.5359191996373365,0.5168472502629812
SA,24/7,Taula_2019,155,0.4963691490070659,0.6297659041955206,0.686037394813299
SA,28/0,Balsora_2016,155,0.6584801493044685,0.7528077366100644,0.7841150882555957
SA,28/0,Balsora_2017,155,0.663082794549535,0.7216327194562803,0.7272407448215473
SA,28/0,Porvenir_2020,155,0.5676086492656183,0.6066988962359975,0.6175215635261074
SA,28/0,Porvenir_2021,155,0.48082309112930244,0.5350419392705588,0.5241033560662909
SA,28/0,Taula_2018,155,0.48628748369884295,0.5041465763004291,0.5028836146970482
SA,28/0,Taula_2019,155,0.6074576698558622,0.6742886654681303,0.6938045566182912
SA,28/3,Balsora_2016,155,0.6712686660329924,0.766288921888554,0.8008525508565788
SA,28/3,Balsora_2017,155,0.6647792596552673,0.7273363922203755,0.7261372773666501
SA,28/3,Porvenir_2020,155,0.5655737579658737,0.6072333916522836,0.6146523997404965
SA,28/3,Porvenir_2021,155,0.48137474523263,0.5370280595166035,0.5380958513832839
SA,28/3,Taula_2018,155,0.5023740599653366,0.5123183198478987,0.5111785333837847
SA,28/3,Taula_2019,155,0.608035934693101,0.6786792773747996,0.7059350735369471
SA,31/0,Balsora_2016,155,0.6976469128355649,0.7345222951345455,0.7890141642534765
SA,31/0,Balsora_2017,155,0.6955943581028684,0.7141950354609259,0.7266080309820273
SA,31/0,Porvenir_2020,155,0.5818543756516518,0.6005885217325219,0.614379495252071
SA,31/0,Porvenir_2021,155,0.48226028907280366,0.4987197188292594,0.4972363149270362
SA,31/0,Taula_2018,155,0.4936217413464546,0.501923688229581,0.4977015115394302
SA,31/0,Taula_2019,155,0.6503713043371897,0.6663606239282067,0.7006704157417296
SA,4/12,Balsora_2016,155,0.14247528627894815,0.15548497596385896,0.1515482526208614
SA,4/12,Balsora_2017,155,0.08885750342755581,0.12189376703534674,0.15186835604981336
SA,4/12,Porvenir_2020,155,0.05856245178525236,0.07894345958682981,0.03523900687097483
SA,4/12,Porvenir_2021,155,0.16432352050287563,0.15535349062620304,0.14923105818598384
SA,4/12,Taula_2018,155,0.17247806724541428,0.2163744853356763,0.22827017645933154
SA,4/12,Taula_2019,155,0.19961625145707623,0.20930908595528686,0.15222658793054034
SA,4/16,Balsora_2016,155,0.1616747193790453,0.15727471731998632,0.19157850814915342
SA,4/16,Balsora_2017,155,0.11329823398834446,0.13171665378810435,0.21640465569337652
SA,4/16,Porvenir_2020,155,0.0600753925538095,0.10100838984897724,0.05721247452520205
SA,4/16,Porvenir_2021,155,0.1739482101087591,0.17690618497287372,0.1432878504469384
SA,4/16,Taula_2018,155,0.2010137403089548,0.2169747228202295,0.2030109594886366
SA,4/16,Taula_2019,155,0.2203227593669676,0.2302789558668147,0.23549741644860975
SA,4/20,Balsora_2016,155,0.14806335259108927,0.13700394325406198,0.1261563852971496
SA,4/20,Balsora_2017,155,0.09777536547678455,0.08554676682273611,0.2176061813622148
SA,4/20,Porvenir_2020,155,0.06471880030103809,0.08527483817647825,0.043876284729127954
SA,4/20,Porvenir_2021,155,0.1780644797878207,0.15853161195412133,0.16672988364701746
SA,4/20,Taula_2018,155,0.18289089598145522,0.19349217283259432,0.200066235193694
SA,4/20,Taula_2019,155,0.20325290417716832,0.18884624628640007,0.2157543930097169
SA,4/24,Balsora_2016,155,0.12827475770888672,0.16987863118105342,0.19711244284049564
SA,4/24,Balsora_2017,155,0.07032613991577806,0.12025694912088215,0.14785343733656595
SA,4/24,Porvenir_2020,155,0.047481854951860664,0.09531472090548358,-0.009825809032941625
SA,4/24,Porvenir_2021,155,0.17249389011545677,0.19570339611776968,0.16487672558148325
SA,4/24,Taula_2018,155,0.17622273259292595,0.22565895731619676,0.24377909685378193
SA,4/24,Taula_2019,155,0.20241997272700477,0.21490645788688992,0.1939327995172902
SA,4/27,Balsora_2016,155,0.1572879426999728,0.1744374218909561,0.24627232117676023
SA,4/27,Balsora_2017,155,0.122547182441307,0.13397604383811695,0.11222153661932421
SA,4/27,Porvenir_2020,155,0.07238251362620575,0.09483093461309368,-0.0023907583352838955
SA,4/27,Porvenir_2021,155,0.2141421444960971,0.20101730264724496,0.15648923717693328
SA,4/27,Taula_2018,155,0.18852820867796447,0.2200139879406424,0.24960657918589468
SA,4/27,Taula_2019,155,0.23860612876609727,0.23495410324942262,0.2938923693120734
SA,4/8,Balsora_2016,155,0.14683745825819186,0.2307392267311745,0.2994916815937056
SA,4/8,Balsora_2017,155,0.09141464680235727,0.19791157841250773,0.24059459839142458
SA,4/8,Porvenir_2020,155,0.05634717075558831,0.13500112150688948,0.12940123052416078
SA,4/8,Porvenir_2021,155,0.1489601291672881,0.20120426973363784,0.1081794557081128
SA,4/8,Taula_2018,155,0.2030088662701231,0.27352657304363315,0.21577539538219617
SA,4/8,Taula_2019,155,0.19330394645777535,0.25598717224082373,0.24039405782148798
SA,8/12,Balsora_2016,155,0.185518168048832,0.22687854959516693,0.26544119113096476
SA,8/12,Balsora_2017,155,0.13064501372309933,0.19296468575257003,0.23596775232652098
SA,8/12,Porvenir_2020,155,0.10489532516263662,0.1513667605103336,0.08318267839821118
SA,8/12,Porvenir_2021,155,0.20024959448927113,0.21839826212297975,0.1660315759280602
SA,8/12,Taula_2018,155,0.1986089213235155,0.22778520641087802,0.2457063999468596
SA,8/12,Taula_2019,155,0.24212194878553017,0.27391717284896994,0.24818973363002744
SA,8/16,Balsora_2016,155,0.18354921532685983,0.22830360977130248,0.22627872601370522
SA,8/16,Balsora_2017,155,0.12266386998912238,0.18911578717261404,0.24494224008275303
SA,8/16,Porvenir_2020,155,0.11333129951591184,0.14483933359446896,0.08966032967239343
SA,8/16,Porvenir_2021,155,0.20371631116903008,0.22142051994776046,0.1749744647056772
SA,8/16,Taula_2018,155,0.18296047620878245,0.2386753344527659,0.23994063062050094
SA,8/16,Taula_2019,155,0.23894406553916173,0.2635869938312535,0.2511028414411522
SA,8/20,Balsora_2016,155,0.1919843831769416,0.22916336763825776,0.2914540033323655
SA,8/20,Balsora_2017,155,0.14939735569306764,0.2083845597356366,0.260120083093251
SA,8/20,Porvenir_2020,155,0.11654674285005223,0.15270409860550394,0.12091427043659529
SA,8/20,Porvenir_2021,155,0.1808848385738644,0.21049504944292122,0.20882972066839667
SA,8/20,Taula_2018,155,0.21238937293821658,0.2568693105186423,0.2951086382704172
SA,8/20,Taula_2019,155,0.271451611457508,0.2997938100034552,0.30514246476912116
SA,8/23,Balsora_2016,155,0.17945124133605198,0.23374992326272698,0.3117824683571862
SA,8/23,Balsora_2017,155,0.12144218100639721,0.1931576597605663,0.15797075352179746
SA,8/23,Porvenir_2020,155,0.0898981309111937,0.14337526095501768,0.06576574914608668
SA,8/23,Porvenir_2021,155,0.19665283250602025,0.22403245622788845,0.15694596099218946
SA,8/23,Taula_2018,155,0.20567511901626698,0.2347390368073692,0.2516945468545757
SA,8/23,Taula_2019,155,0.24614901290768745,0.28127442381639317,0.3198436401101208
SA,8/4,Balsora_2016,155,0.18689090351915294,0.24053534510193483,0.25545020638501104
SA,8/4,Balsora_2017,155,0.1324060961382582,0.20216763880143504,0.2730362822485535
SA,8/4,Porvenir_2020,155,0.10364709112014424,0.15428283365103915,0.13916595676083052
SA,8/4,Porvenir_2021,155,0.19535703485830352,0.21623985512413002,0.1940948670599182
SA,8/4,Taula_2018,155,0.1858602027233521,0.24435307005735152,0.24653537908848688
SA,8/4,Taula_2019,155,0.23422400202591612,0.2775774539716735,0.28336207675194
SA,8/8,Balsora_2016,155,0.1856907537989183,0.19532213310871277,0.19050023572113736
SA,8/8,Balsora_2017,155,0.14884838058708758,0.15773842445801445,0.2122341987287511
SA,8/8,Porvenir_2020,155,0.11895837276228875,0.14830912169306332,0.13360700890266472
SA,8/8,Porvenir_2021,155,0.18189809510384383,0.17910817105437363,0.20473041886143345
SA,8/8,Taula_2018,155,0.2208222835782565,0.24206071131782442,0.22608833364822023
SA,8/8,Taula_2019,155,0.27430675817168193,0.27282546107388506,0.29381662621645166
TCH,0/12,Balsora_2016,155,-0.038857111902581426,0.0710671939379169,0.13172755856473053
TCH,0/12,Balsora_2017,155,-0.037776597630983955,0.10320695680155223,0.14712548689794588
TCH,0/12,Porvenir_2020,155,0.048488076913624986,0.03670552376567069,0.01765376616294692
TCH,0/12,Porvenir_2021,155,-0.03517799394926016,0.12254534151017091,0.03202885047923359
TCH,0/12,Taula_2018,155,0.009615692978975781,0.05657273893617794,0.14600167129952318
TCH,0/12,Taula_2019,155,-0.12659202481749982,0.15089822432415662,0.03604647956247366
TCH,0/16,Balsora_2016,155,0.11150808781333024,0.019309264152996747,0.07500004434896206
TCH,0/16,Balsora_2017,155,-0.0052460273061117856,0.11090101492432618,0.14459972557354003
TCH,0/16,Porvenir_2020,155,-0.1003081225405084,-0.04134194354159993,0.01973739484803
TCH,0/16,Porvenir_2021,155,-0.06768109316941177,-0.12006260732621163,0.11788431078052863
TCH,0/16,Taula_2018,155,-0.03634068852305094,0.05825314159785999,0.07770863257251893
TCH,0/16,Taula_2019,155,-0.011109625182870205,0.10388672239963853,0.10741255583010068
TCH,0/20,Balsora_2016,155,-0.04449305213648956,0.1290893725708733,0.030759360379383132
TCH,0/20,Balsora_2017,155,0.0345257764471209,0.21427860175853522,0.19581326179543945
TCH,0/20,Porvenir_2020,155,0.020197030446566774,0.11377266731612899,0.10055666640182152
TCH,0/20,Porvenir_2021,155,-0.022763591747776073,0.16020715444713118,0.12184981042594402
TCH,0/20,Taula_2018,155,-0.043915816713870376,0.06067078629087184,0.17674311228788336
TCH,0/20,Taula_2019,155,-0.05147105854349674,0.08859283181066707,0.11784187910734319
TCH,0/24,Balsora_2016,155,-0.028004756539981586,0.02692366288395361,0.01467200205544711
TCH,0/24,Balsora_2017,155,2.9790670435423213e-4,0.1009396989533792,0.12437187454416744
TCH,0/24,Porvenir_2020,155,0.08497071911282128,0.06004165961598017,-0.06842139781164241
TCH,0/24,Porvenir_2021,155,0.07806858955964674,0.003046643818917444,-0.007467347241624315
TCH,0/24,Taula_2018,155,0.07145193271672413,0.0021396735899748887,0.28606134293827273
TCH,0/24,Taula_2019,155,-0.018564976437318404,0.020030960854141945,0.11900004734720186
TCH,0/28,Balsora_2016,155,-0.1171841711490435,0.1365351287466404,0.07305286424198099
TCH,0/28,Balsora_2017,155,-0.023716702792089775,0.2503194468028811,0.3021957932400332
TCH,0/28,Porvenir_2020,155,0.08016291550170934,0.22590390587595335,-0.027995332793805117
TCH,0/28,Porvenir_2021,155,0.05285562171868928,0.18200522583575102,0.056517758518729165
TCH,0/28,Taula_2018,155,0.0378458089522858,0.1890802267184891,0.3051210042049198
TCH,0/28,Taula_2019,155,0.051577863830071576,0.25395723431634676,0.15757650622598235
TCH,0/31,Balsora_2016,155,-0.00176795535753246,0.06649913811244146,0.02580928304018273
TCH,0/31,Balsora_2017,155,-0.06681580390723893,0.2624310061299003,0.30652539905424
TCH,0/31,Porvenir_2020,155,0.04960653633966889,0.01009500033090891,-0.024604450451101052
TCH,0/31,Porvenir_2021,155,0.0018454524248780523,0.07289819715622829,0.07481928191023364
TCH,0/31,Taula_2018,155,-0.11458160288275365,0.09996629014509072,0.27757440696090013
TCH,0/31,Taula_2019,155,0.007633200510382894,0.11437761282305425,0.22617076569627415
TCH,12/0,Balsora_2016,155,0.19221307629235887,0.2334920270212668,0.15705306230768995
TCH,12/0,Balsora_2017,155,0.21088345221345975,0.23883347627280682,0.22927521589190827
TCH,12/0,Porvenir_2020,155,0.15570991851741484,0.13263171378256747,0.11894511272105034
TCH,12/0,Porvenir_2021,155,0.10275892532387525,0.0865812160202723,0.08590590859028656
TCH,12/0,Taula_2018,155,0.15740419003370765,0.1622062040932465,0.1453979745351075
TCH,12/0,Taula_2019,155,0.24143992702652367,0.24539511645701367,0.2447940287770213
TCH,12/12,Balsora_2016,155,0.2600275579324205,0.2698795318659583,0.17800164411827094
TCH,12/12,Balsora_2017,155,0.22330567915579677,0.24927875075294786,0.2778837532927678
TCH,12/12,Porvenir_2020,155,0.16174038726441534,0.1630722815211551,0.13421741024943667
TCH,12/12,Porvenir_2021,155,0.12487702892457046,0.12311560494965976,0.13905936877572028
TCH,12/12,Taula_2018,155,0.17497547553580722,0.17851865265532632,0.2229901852005206
TCH,12/12,Taula_2019,155,0.27639919697463566,0.27171764266032733,0.3087627490039462
TCH,12/16,Balsora_2016,155,0.23165787732133905,0.27484460007918027,0.18363126509985633
TCH,12/16,Balsora_2017,155,0.2395866832228658,0.27689284337907033,0.2966411263174628
TCH,12/16,Porvenir_2020,155,0.16196643375550723,0.17016188529717677,0.15906279263767814
TCH,12/16,Porvenir_2021,155,0.10284644632004183,0.1124147855491801,0.13327248155252974
TCH,12/16,Taula_2018,155,0.16534748782631964,0.18007748016788408,0.24753202871159588
TCH,12/16,Taula_2019,155,0.2732917059106177,0.2895640051836518,0.31203224945996383
TCH,12/19,Balsora_2016,155,0.2574521811802362,0.27177859758855666,0.1343432622784187
TCH,12/19,Balsora_2017,155,0.2289961590654283,0.2560709783972899,0.2861169380197101
TCH,12/19,Porvenir_2020,155,0.16444918119058866,0.17100745202887427,0.14378933505618524
TCH,12/19,Porvenir_2021,155,0.12547958997972175,0.1241476546943628,0.12035914040189453
TCH,12/19,Taula_2018,155,0.1626268581768596,0.16509321841015412,0.19135695471389252
TCH,12/19,Taula_2019,155,0.26126063153145695,0.27170052762311364,0.2980480068301694
TCH,12/4,Balsora_2016,155,0.23398496128316754,0.26795570010076436,0.22642317642283566
TCH,12/4,Balsora_2017,155,0.2393453391166743,0.25887547057779303,0.2847778158175681
TCH,12/4,Porvenir_2020,155,0.1293075681902738,0.16346743355429644,0.1772254136462245
TCH,12/4,Porvenir_2021,155,0.0966893545137119,0.09905925301861535,0.15283879796548736
TCH,12/4,Taula_2018,155,0.17252482960528068,0.1794633443710061,0.18733574239855982
TCH,12/4,Taula_2019,155,0.2703833302446726,0.2799236098751588,0.27149450728187685
TCH,12/8,Balsora_2016,155,0.23654259333091712,0.2746547655306569,0.14949287281771395
TCH,12/8,Balsora_2017,155,0.2258957554257153,0.25052044638783355,0.2973788395382563
TCH,12/8,Porvenir_2020,155,0.1539422964898796,0.15663972031757187,0.13680265407375825
TCH,12/8,Porvenir_2021,155,0.1187464835713468,0.11383422109145006,0.1376751069370529
TCH,12/8,Taula_2018,155,0.17732195922905056,0.17311495417551323,0.1686802262667974
TCH,12/8,Taula_2019,155,0.2553578759704529,0.2636017475347618,0.30038265738263314
TCH,16/0,Balsora_2016,155,0.25877601717505927,0.27946211669412807,0.2347186330907021
TCH,16/0,Balsora_2017,155,0.26455938167896154,0.30820475856207485,0.3447152503524086
TCH,16/0,Porvenir_2020,155,0.15858946935686977,0.17259438790898285,0.15500927400770176
TCH,16/0,Porvenir_2021,155,0.14390407988744863,0.16719262664695378,0.1899271707903448
TCH,16/0,Taula_2018,155,0.23506667837844594,0.2413023631942376,0.23275488779607897
TCH,16/0,Taula_2019,155,0.28491753967932704,0.30067210245244536,0.3289806473086733
TCH,16/12,Balsora_2016,155,0.3038926353671277,0.33288505351244274,0.2495498619374588
