Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,0/12,Balsora_2016,155,1.8801109091305037,1.874120319609404,1.8786648923294644
SA,0/12,Balsora_2017,155,1.8172052905321743,1.806953512027773,1.7643443529703509
SA,0/12,Porvenir_2020,155,0.8699918258604016,0.8648654041159445,0.8796424382217052
SA,0/12,Porvenir_2021,155,1.2296419760302464,1.2172230314087156,1.3002727493861799
SA,0/12,Taula_2018,155,1.8605653774929705,1.8842583842343796,2.0662459753329836
SA,0/12,Taula_2019,155,1.2994520352106598,1.2912767043768432,1.3639539476138987
SA,0/16,Balsora_2016,155,1.8751610365760258,1.869286454596653,1.8397970745523016
SA,0/16,Balsora_2017,155,1.8414874643645731,1.826412035078874,1.8145830504252711
SA,0/16,Porvenir_2020,155,0.8652526498076739,0.861490268328781,0.8871340743813263
SA,0/16,Porvenir_2021,155,1.199009679321456,1.1895204276346631,1.205989970161545
SA,0/16,Taula_2018,155,1.5583028935354324,1.5833874890986706,1.5599128273603642
SA,0/16,Taula_2019,155,1.2929870941487198,1.2841469609247491,1.2880986042986542
SA,0/20,Balsora_2016,155,1.8833025240269141,1.864756615588517,1.859869157567515
SA,0/20,Balsora_2017,155,1.8368217315331408,1.8330107778712623,1.8275974797227321
SA,0/20,Porvenir_2020,155,0.8647046427224264,0.8622406935471573,0.8617872725302624
SA,0/20,Porvenir_2021,155,1.1934355709404911,1.1820921508591355,1.1972161906768277
SA,0/20,Taula_2018,155,1.622933805044529,1.5886432396106513,1.5845505176249215
SA,0/20,Taula_2019,155,1.2983693289313505,1.285824478957778,1.2956957453346125
SA,0/24,Balsora_2016,155,1.901003545771395,1.8914185692880414,1.8713301988749973
SA,0/24,Balsora_2017,155,1.8176277602991544,1.8154136943888952,1.78498201101443
SA,0/24,Porvenir_2020,155,0.8654733055546063,0.8617732142373787,0.8598734962399406
SA,0/24,Porvenir_2021,155,1.2008532380831503,1.1908140889802563,1.1981203309293504
SA,0/24,Taula_2018,155,1.6481580689797868,1.6277704763485756,1.6213988058602606
SA,0/24,Taula_2019,155,1.3055335758311208,1.298084362080592,1.2971377310878218
SA,0/28,Balsora_2016,155,1.8757300187911345,1.8644517012984267,1.8415094525233442
SA,0/28,Balsora_2017,155,1.8444397623199682,1.8370738247997374,1.826830450767811
