Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,11,0.9042500947076763,0.9014345539992711,-0.7237835755643522,0.16025723521232402
all,1,Angle,11,0.6022680620967442,0.46949821815183407,-0.42185488578045766,-0.4876480446955102
all,1,GDD50,11,0.7375496228661982,-0.905784633992074,0.7319420425469184,-0.08588699835222803
all,1,FHB_1,11,0.9379518478888289,0.8609888015584196,-0.6905706710195635,0.013651858764138537
all,0.8,AUDPC,11,0.714657279534527,0.8346412510476472,-0.6814265292438106,0.16426557610198536
all,0.8,Angle,11,0.6164248242642275,0.48091660605890263,-0.4209760560585295,-0.46654292733199826
all,0.8,GDD50,11,0.5980341767429115,-0.8281990923829587,0.6612069755521525,-0.05860400074203926
all,0.8,FHB_1,11,0.7014231688995771,0.8078787385474061,-0.6498882511648695,0.0077991787477474485
all,0.5,AUDPC,11,0.38110902107437805,0.7057986647648347,-0.5782286716248465,0.15867479438882673
all,0.5,Angle,11,0.41426748881946723,0.419333027293218,-0.3438765063337361,-0.43457561767441333
all,0.5,GDD50,11,0.4064646259851502,-0.7325547446331863,0.596311882394196,-0.07089772819119482
all,0.5,FHB_1,11,0.3633449882474991,0.7171640561484746,-0.5774463914965476,0.05869575953961822
all,0.2,AUDPC,11,0.23097821051221373,0.5582345816354941,-0.4266995382740403,0.12484691355926106
all,0.2,Angle,11,0.08074224266156661,0.26172102725941715,-0.22909480101059476,-0.34758916169249254
all,0.2,GDD50,11,0.2220628079590986,-0.5540260082472594,0.45118199346893517,-0.09242163684592775
all,0.2,FHB_1,11,0.18407204172659475,0.5578501745205258,-0.4336105685125357,0.06816630747589483
firsts,1,AUDPC,11,0.9665989680797635,0.7600793477952149,-0.5768377497605655,0.5004285704976048
firsts,1,Angle,11,0.9511870056831586,0.8467027771602263,-0.6595034751733456,0.24451363915614555
firsts,1,GDD50,11,0.7599547192943876,-0.5397275371908071,0.4114930407721844,-0.26732242304090154
firsts,1,FHB_1,11,0.9863845923610431,0.8531666366633718,-0.6635378177628065,0.2815027078673708
firsts,0.8,AUDPC,11,0.7302497945462275,0.7438546802699061,-0.5776531826090044,0.4132083717197795
firsts,0.8,Angle,11,0.6462655352507629,0.7980263541483068,-0.6388833863180323,0.14421246194687073
firsts,0.8,GDD50,11,0.39570322629560706,-0.6621874214501283,0.5301598484560276,-0.18637570497911463
firsts,0.8,FHB_1,11,0.6900651616473861,0.814535457850193,-0.6336083130628523,0.20027396051885868
firsts,0.5,AUDPC,11,0.4098166031843626,0.6647241137345901,-0.5181295498848296,0.3329871295338101
firsts,0.5,Angle,11,0.3270203333049882,0.676426859159491,-0.549833595731837,0.005898191612570333
firsts,0.5,GDD50,11,0.15096652443862973,-0.5008797913639343,0.4027849151406281,-0.22772279240692528
firsts,0.5,FHB_1,11,0.364163848907207,0.7107398864395089,-0.5602516543551315,0.17119179307045698
firsts,0.2,AUDPC,11,0.18289858925734281,0.5245621401049945,-0.41760047793822486,0.21480314266678996
firsts,0.2,Angle,11,0.10277028518850509,0.4120292244468004,-0.34713286924324893,-0.16413212402831648
firsts,0.2,GDD50,11,0.17192292000290046,-0.5265633383381286,0.41540048336537705,-0.12217270885996045
firsts,0.2,FHB_1,11,0.20643303783348868,0.5656440911788281,-0.43345091633384225,0.10975461536410283
mids,1,AUDPC,11,0.9002224597174913,0.8908494452626529,-0.7052553724772938,0.17608280633258272
mids,1,Angle,11,0.803844390507615,0.6876419738933292,-0.5697957957256696,-0.30615035346208574
mids,1,GDD50,11,0.5353609510336943,-0.5987747135717472,0.48710950888349674,-0.0843179009144203
