Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,25,0.9065772003029701,0.9037342467444631,-0.7233418916019143,0.16170019134829805
all,1,Angle,25,0.5720950399799114,0.45197128159576105,-0.41382769317544205,-0.4908554345259762
all,1,GDD50,25,0.7343546646671499,-0.9081612590376625,0.7287907446447676,-0.08401345292967904
all,1,FHB_1,25,0.931666871547208,0.8579932565375987,-0.6926029865910228,0.02238029168660447
all,0.8,AUDPC,25,0.7170557305095999,0.8421889640470601,-0.6829784632755964,0.16103361097059288
all,0.8,Angle,25,0.6119751348352561,0.46233136295541044,-0.41603810237997674,-0.4511758842406813
all,0.8,GDD50,25,0.6182156873024478,-0.8414288112731728,0.6827021234173923,-0.05729894716389909
all,0.8,FHB_1,25,0.7072346892872629,0.8066886957724512,-0.6552678375369436,0.02652012097998222
all,0.5,AUDPC,25,0.3867433518620926,0.7222378090543169,-0.57616778740803,0.19340370066425477
all,0.5,Angle,25,0.44900284885500685,0.415106470098709,-0.3643960448228966,-0.4414646350099698
all,0.5,GDD50,25,0.3958649299570149,-0.7343006223057235,0.5840638864299961,-0.07617461037244833
all,0.5,FHB_1,25,0.3792531635060536,0.6872221345976725,-0.5628532141807034,0.0635359149734995
all,0.2,AUDPC,25,0.21616542783289439,0.5642322740969212,-0.4488486811228883,0.12823150498414104
all,0.2,Angle,25,0.08984345318108196,0.253329246984771,-0.23885415152054798,-0.3436560984835721
all,0.2,GDD50,25,0.19333660140667605,-0.5408651458220038,0.44418778475811505,-0.0889382920402795
all,0.2,FHB_1,25,0.21583168628377766,0.5605331301497468,-0.44142875642240575,0.05665739168489366
firsts,1,AUDPC,25,0.9673649756318273,0.7610436880133119,-0.5802529730404459,0.49495087421780126
firsts,1,Angle,25,0.9517099727014584,0.8441659973229052,-0.6579450460701551,0.2447993756150836
firsts,1,GDD50,25,0.7554251389985385,-0.5305596398489266,0.41802914694433735,-0.2727596693061998
firsts,1,FHB_1,25,0.9852552704269557,0.8511037833168904,-0.6623523576105782,0.27811037675681166
firsts,0.8,AUDPC,25,0.7261103130742309,0.7495114260307437,-0.5606598580476204,0.38573617533033994
firsts,0.8,Angle,25,0.6592047319554067,0.8064296745509977,-0.6336449150540053,0.11500132167384139
firsts,0.8,GDD50,25,0.36782179866065734,-0.6564645564842017,0.5119986787734097,-0.1958850507398405
firsts,0.8,FHB_1,25,0.6966097078479122,0.8159221498565699,-0.6378829228664935,0.22064130335654003
firsts,0.5,AUDPC,25,0.3995273401044096,0.6821091196444519,-0.5289936569297382,0.33775846426101336
firsts,0.5,Angle,25,0.3474772999492763,0.6818861028273736,-0.5564714714339231,0.00800003767901068
firsts,0.5,GDD50,25,0.1520410463725142,-0.4701013693852246,0.38095624396681166,-0.25305488458586084
firsts,0.5,FHB_1,25,0.36283095120950515,0.7084799755249358,-0.563690393417896,0.15605120427257674
