Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,10,0.9064366781282867,0.9034390870584132,-0.7250803047123653,0.16271015779080422
all,1,Angle,10,0.618751309661236,0.4663050629655257,-0.4143099471999927,-0.49713833899363447
all,1,GDD50,10,0.7322486980668328,-0.9077352741702079,0.7266826360889539,-0.08784078836286109
all,1,FHB_1,10,0.9355552155910656,0.8604653198819089,-0.6879144806275563,0.021958195621077856
all,0.8,AUDPC,10,0.7120122676529774,0.8361856221845693,-0.6676235952999748,0.15318790385612235
all,0.8,Angle,10,0.6232939960660135,0.48455038885691937,-0.4176675848089896,-0.4603922051727179
all,0.8,GDD50,10,0.6126135485133778,-0.8484400356213708,0.6717919218311095,-0.04610594772214767
all,0.8,FHB_1,10,0.7240015510955257,0.8148168281398378,-0.6423298008500481,0.008806370307347659
all,0.5,AUDPC,10,0.38968213129065926,0.7189247177963716,-0.5663417456738488,0.1509467015820467
all,0.5,Angle,10,0.4180429947584271,0.40026585278072757,-0.357238732250732,-0.4292413019793813
all,0.5,GDD50,10,0.3723581771837267,-0.7172248317179861,0.572700819135706,-0.07433157659444635
all,0.5,FHB_1,10,0.35441575496956085,0.687896113161871,-0.5388260292812302,0.06177453357750784
all,0.2,AUDPC,10,0.20265965017045268,0.5313586181458976,-0.41528492786215676,0.12309153040764995
all,0.2,Angle,10,0.06471098252000511,0.20605617789340147,-0.1989740444994921,-0.3264856505041505
all,0.2,GDD50,10,0.2047506923417187,-0.5424749290481058,0.4252974225961053,-0.09734938786784758
all,0.2,FHB_1,10,0.20359119976210996,0.5562838426098777,-0.44519153039005344,0.048060311078888286
firsts,1,AUDPC,10,0.9656643150291733,0.7676516249743739,-0.583874306864915,0.48174180935007255
firsts,1,Angle,10,0.9518720022941667,0.8454027613146547,-0.6556170475208893,0.2428416103880515
firsts,1,GDD50,10,0.7167181499327896,-0.5147325849765961,0.3999416933982776,-0.26358081637896624
firsts,1,FHB_1,10,0.9864586759572895,0.8542965491986797,-0.6627999605635895,0.27739922601708256
firsts,0.8,AUDPC,10,0.7202880966354276,0.7329963120857372,-0.569418135432313,0.4146266830876167
firsts,0.8,Angle,10,0.6553299047509022,0.8058273905108537,-0.6282928850375721,0.09645363091325769
firsts,0.8,GDD50,10,0.3517386045365504,-0.6406732101224137,0.5040102350001575,-0.2013819384109167
firsts,0.8,FHB_1,10,0.6948418392318386,0.8206422264830423,-0.6426634654090463,0.21843161588274773
firsts,0.5,AUDPC,10,0.40498178770451154,0.6763401720623119,-0.5266875683771874,0.31725346651144565
firsts,0.5,Angle,10,0.3259061968564869,0.6787503960138866,-0.5540689703116525,-0.016625399021022575
firsts,0.5,GDD50,10,0.16996520356578598,-0.48618513030155436,0.3937517246933163,-0.23999949572531826
firsts,0.5,FHB_1,10,0.3826302324965836,0.7212308821943406,-0.5689677597397899,0.15097200096385652
firsts,0.2,AUDPC,10,0.22784127377521993,0.5558127810562987,-0.42947198930170455,0.2069267027542476
firsts,0.2,Angle,10,0.10435395332653001,0.4127013412753753,-0.3356413084526133,-0.16179350322041847
firsts,0.2,GDD50,10,0.14565034171636035,-0.5048195993836184,0.40702838796198493,-0.12337947773302443
firsts,0.2,FHB_1,10,0.22388565126049034,0.5716198520081411,-0.434895602133807,0.1124374287358314
mids,1,AUDPC,10,0.8997223645012227,0.8906534406457375,-0.7085422818068368,0.1780413366156162
mids,1,Angle,10,0.8057512438275123,0.688669022731437,-0.5881860849600932,-0.29926275585078616
mids,1,GDD50,10,0.6082478351631464,-0.6431701791125939,0.5067898369349859,-0.08219176651446046
mids,1,FHB_1,10,0.9322728364252938,0.8600024770228873,-0.6907526971088391,0.015105002172978752
mids,0.8,AUDPC,10,0.6783398712907459,0.8316425579509275,-0.6531188212952087,0.14593802486172197
mids,0.8,Angle,10,0.6831142509999021,0.6844187020895396,-0.5709120042171327,-0.2604366918061849
mids,0.8,GDD50,10,0.5934864985760665,-0.7792179187712672,0.639501877636223,-0.07882003779115071
mids,0.8,FHB_1,10,0.7083176376396053,0.8083169252170439,-0.6532659532789948,0.001049469981790814
mids,0.5,AUDPC,10,0.3788481526832368,0.7160842476047853,-0.5652671324623624,0.16419804511484143
mids,0.5,Angle,10,0.3871345236714568,0.5486261591112583,-0.4660098634220221,-0.27680344085717573
mids,0.5,GDD50,10,0.3953047964565376,-0.7165801174083372,0.5680167470367109,-0.047646588126426644
mids,0.5,FHB_1,10,0.363143239843788,0.6894422630162476,-0.5702289363047406,0.058064717079097314
mids,0.2,AUDPC,10,0.20838456085274787,0.558381906605825,-0.43145845066235156,0.13926882218228379
mids,0.2,Angle,10,0.07610866333611878,0.3348733221042628,-0.27094212448898664,-0.2959863845600458
mids,0.2,GDD50,10,0.15861241376696872,-0.4558234620858981,0.3521193466084617,-0.08730093903190853
mids,0.2,FHB_1,10,0.18224698987402116,0.5449650360477329,-0.4235390672834316,0.03400107639958585
evens,1,AUDPC,10,0.9061967171814861,0.8982235459414017,-0.718806868607245,0.18545315279897615
evens,1,Angle,10,0.6055763761337678,0.466250898780029,-0.4257180996350799,-0.4851194011175062
evens,1,GDD50,10,0.7250815621146158,-0.8796911881458618,0.7126934204435014,-0.09352172322208573
evens,1,FHB_1,10,0.9367174246307138,0.8604711283107768,-0.691651756392743,0.020580748775417497
evens,0.8,AUDPC,10,0.7156237489324759,0.8421608870960589,-0.6635150626883771,0.15176463367394843
evens,0.8,Angle,10,0.6155513172155264,0.482723023587101,-0.43268913457316077,-0.438374804416321
evens,0.8,GDD50,10,0.6216806273914125,-0.8454182661339532,0.675981306474498,-0.060978707475495525
evens,0.8,FHB_1,10,0.7049921016990867,0.8114741514820379,-0.6638307707083982,0.012385812107039876
evens,0.5,AUDPC,10,0.37783685501200026,0.7105217665294673,-0.5671935793914573,0.15496464171280327
evens,0.5,Angle,10,0.41889723323510003,0.39826692229285854,-0.3571439185093969,-0.40888420984699564
evens,0.5,GDD50,10,0.4021165526104067,-0.7285468887728553,0.5945034713571947,-0.05801470348772766
evens,0.5,FHB_1,10,0.3560373352625731,0.7001056285106441,-0.5722175247282018,0.08232816710476414
evens,0.2,AUDPC,10,0.18801015191754694,0.5688317468675563,-0.45131641999212013,0.11199343820342801
evens,0.2,Angle,10,0.06963450380681406,0.24582545537183007,-0.20287206087131,-0.34326902225075506
evens,0.2,GDD50,10,0.20241159027616104,-0.5279122266339731,0.4258536392252306,-0.08181289721216807
evens,0.2,FHB_1,10,0.18695517058209712,0.5635730105571461,-0.43428322389717006,0.06299862411735027
odds,1,AUDPC,10,0.9229252790347355,0.88692063217358,-0.7023566806204243,0.25871290190948903
