Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,30,0.901679508300137,0.8987463523059064,-0.7203052842548902,0.1574199729255252
all,1,Angle,30,0.5817810428829858,0.47763884505272924,-0.4255328327303793,-0.45587191759181217
all,1,GDD50,30,0.7331659300674283,-0.9054332436442097,0.7283634753632504,-0.0800223729627108
all,1,FHB_1,30,0.9364850662718653,0.8634495077977862,-0.6905403897835547,0.01819554272843553
all,0.8,AUDPC,30,0.7244686616754737,0.8401936270979098,-0.6678127112812055,0.15358365868503449
all,0.8,Angle,30,0.6013993980514307,0.4864242991497242,-0.4218022188220823,-0.43259844430153843
all,0.8,GDD50,30,0.6103033654198432,-0.8340997717968446,0.6766464444344815,-0.07019600928284357
all,0.8,FHB_1,30,0.7081054537783031,0.8134198295501958,-0.6490981670520497,0.00869149258184841
all,0.5,AUDPC,30,0.3974038716913543,0.7228295101092346,-0.5810588571808851,0.16180908608274175
all,0.5,Angle,30,0.4431343555135281,0.41370355364739886,-0.3694219478572263,-0.4347671928894383
all,0.5,GDD50,30,0.3926240302687402,-0.725634080826707,0.5941140269301224,-0.07470890615650491
all,0.5,FHB_1,30,0.41267645923799195,0.7136444197242247,-0.5719959408616265,0.06079629203618402
all,0.2,AUDPC,30,0.2122433376521609,0.5871853973523102,-0.4739954758038258,0.13787752445870807
all,0.2,Angle,30,0.08677909981093325,0.24837079713726387,-0.22681026965452455,-0.34485654277920685
all,0.2,GDD50,30,0.2106361800300295,-0.5665577981532349,0.45000544565152967,-0.0782542858106922
all,0.2,FHB_1,30,0.21751065262238156,0.5579618386954034,-0.43276769839499907,0.07143167554521737
firsts,1,AUDPC,30,0.9653627797251912,0.7618495277560174,-0.5776375575092606,0.49033132909387783
firsts,1,Angle,30,0.9429792259530343,0.8411474671111936,-0.6551547289769395,0.2253097532654759
firsts,1,GDD50,30,0.7751927778862947,-0.541824117559821,0.4210324816396058,-0.2628226435013209
firsts,1,FHB_1,30,0.9780636592022579,0.8419099936785928,-0.6536557275793241,0.28241949136071487
firsts,0.8,AUDPC,30,0.7191733418797936,0.7570651599427661,-0.5737936398695292,0.3939201914581397
firsts,0.8,Angle,30,0.6698508615412375,0.8136765836487467,-0.6386357546680944,0.11676241449295911
firsts,0.8,GDD50,30,0.3663670911546735,-0.6498245798226427,0.5172044696077921,-0.1862450296240304
firsts,0.8,FHB_1,30,0.7009592670937312,0.809588893547225,-0.626274005991765,0.19411423430068103
firsts,0.5,AUDPC,30,0.4247400109781123,0.6846792539588372,-0.5292875755350688,0.3272341163357115
firsts,0.5,Angle,30,0.31214097850607103,0.663876236883037,-0.529335331133615,-0.0047564749440591894
