Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,8,0.9045463570287369,0.9018318324252677,-0.7220343860404211,0.16267703411688195
all,1,Angle,8,0.5854825401092822,0.4722492353736785,-0.425008611180458,-0.47914243588784583
all,1,GDD50,8,0.7325909199979121,-0.907416712741726,0.7300042450882969,-0.08252815948292384
all,1,FHB_1,8,0.9306029625456306,0.8572139650003343,-0.6886317445445808,0.00394233592554951
all,0.8,AUDPC,8,0.711305670376606,0.838565867673405,-0.661754065118647,0.152669507030049
all,0.8,Angle,8,0.6203929983283661,0.4957477781884063,-0.435913568693159,-0.4506363708189734
all,0.8,GDD50,8,0.6167442648816936,-0.8475578731487619,0.6792917784698185,-0.054898676945067094
all,0.8,FHB_1,8,0.7072368027893153,0.8100399869889316,-0.6460174167964714,0.003577544503661761
all,0.5,AUDPC,8,0.3684200871877867,0.711398775839828,-0.5644586973810782,0.14089834937321852
all,0.5,Angle,8,0.43126942667652984,0.4157069357722977,-0.3719463212707274,-0.4189985982090154
all,0.5,GDD50,8,0.4013865439386785,-0.7400822907909602,0.5945378713361343,-0.05721300701091911
all,0.5,FHB_1,8,0.3664450422709711,0.6933765339742374,-0.5680254626238307,0.04933050130102562
all,0.2,AUDPC,8,0.18311932567315622,0.5391915197023476,-0.43982118787018343,0.11598435717857053
all,0.2,Angle,8,0.0809140200573938,0.2519520073231572,-0.2377333804268454,-0.3345717648996124
all,0.2,GDD50,8,0.1921056007126672,-0.545038277769697,0.42433616652226563,-0.08330976815849016
all,0.2,FHB_1,8,0.18409509596407597,0.5511437013201257,-0.4485548791197675,0.077960955975912
firsts,1,AUDPC,8,0.967927724155118,0.7646103247532074,-0.5804345726771127,0.49643882627911795
firsts,1,Angle,8,0.953702232187279,0.8419681471013509,-0.6566326505836471,0.23548835281344463
firsts,1,GDD50,8,0.7244110105706898,-0.5318584418544126,0.4109791845661828,-0.2681065119561631
firsts,1,FHB_1,8,0.9788269300891675,0.850307235843328,-0.6591579313975368,0.27664561982774516
firsts,0.8,AUDPC,8,0.7441569244531914,0.7577586951732045,-0.5703725374672761,0.4113047221904328
firsts,0.8,Angle,8,0.6520612324714715,0.8034583309589381,-0.6276763294871429,0.12128446251448509
firsts,0.8,GDD50,8,0.3635087445604436,-0.6592540938690673,0.5155178321844396,-0.16954353944979547
firsts,0.8,FHB_1,8,0.6997283078999483,0.8241983307132507,-0.6387375236672931,0.20613091915271392
firsts,0.5,AUDPC,8,0.3792882961743093,0.6730825505395451,-0.5168321673873254,0.31335408934328424
firsts,0.5,Angle,8,0.3189593335936505,0.6889327129180968,-0.5401266448538393,-0.012038690931353705
firsts,0.5,GDD50,8,0.17247930422115024,-0.48704197595487914,0.3881961548804622,-0.24407231053793044
firsts,0.5,FHB_1,8,0.3611765518819611,0.7030907681180282,-0.5609140675725253,0.15084113850907824
firsts,0.2,AUDPC,8,0.21025619549218186,0.5531555397782886,-0.4396034259966699,0.20544850575912282
firsts,0.2,Angle,8,0.12315591537895816,0.4169777976893923,-0.32437666627732714,-0.17511490897287446
firsts,0.2,GDD50,8,0.19430123706962285,-0.5206721394401815,0.4146701579054877,-0.10690401630465307
firsts,0.2,FHB_1,8,0.21272520698935607,0.5763650134403646,-0.4570944122174894,0.10115460947400573
mids,1,AUDPC,8,0.9017603419516752,0.8931895623532312,-0.7103561740733552,0.18047453237283934
mids,1,Angle,8,0.8021180231165869,0.6924340068180386,-0.5712249510712645,-0.2924466427204229
mids,1,GDD50,8,0.4012528102874645,-0.471012447347341,0.3910736879971757,-0.07798677449055794
mids,1,FHB_1,8,0.9337105099401773,0.8585359445218389,-0.6903544723910108,0.021552822135881253
mids,0.8,AUDPC,8,0.6737708527827014,0.8263955056615834,-0.6594752041982596,0.13494652294396056
mids,0.8,Angle,8,0.6943638182889077,0.6733519419597122,-0.5589547377850058,-0.2689767575078711
mids,0.8,GDD50,8,0.5658507372670862,-0.7605601566308996,0.6277643150290247,-0.06314650960803722
mids,0.8,FHB_1,8,0.7067569952191023,0.8118871402840504,-0.6519559334399652,0.01809136956709156
mids,0.5,AUDPC,8,0.3763946681043503,0.7216650907865163,-0.5671295605800054,0.16649023070721752
mids,0.5,Angle,8,0.414525821957614,0.5665079447353004,-0.48779452025500886,-0.2542888623538681
mids,0.5,GDD50,8,0.41931094356965515,-0.7162944000690423,0.5695533316493968,-0.03636100493167283
mids,0.5,FHB_1,8,0.37500753322685126,0.7025734958608157,-0.5656513393347329,0.06371033117654187
mids,0.2,AUDPC,8,0.22309561410101286,0.5779275797620558,-0.44855818188579466,0.13803042006702873
mids,0.2,Angle,8,0.09971957509335973,0.3369495923007616,-0.27727984014334517,-0.2767595827276802
mids,0.2,GDD50,8,0.15271873224094099,-0.4614085424644464,0.36940722460049047,-0.08510973347595374
mids,0.2,FHB_1,8,0.17679641112439962,0.5253202140359576,-0.4215865065344805,0.05326293024880031
evens,1,AUDPC,8,0.9023433926030008,0.8936935470626215,-0.71530210782364545,0.18514417454065887
evens,1,Angle,8,0.5676738080166815,0.44233609510846367,-0.40614613824655554,-0.4861614716105473
evens,1,GDD50,8,0.7333844545471133,-0.89336261713087,0.7130625921237157,-0.08347993624190822
evens,1,FHB_1,8,0.9310885115353728,0.8597982042726465,-0.6870345011311926,0.01747640011396168
evens,0.8,AUDPC,8,0.6833453371023506,0.8188294867221207,-0.6633247059713122,0.15198217781635892
evens,0.8,Angle,8,0.6017276016591112,0.4604609253045734,-0.4109254896721079,-0.45438737577815486
evens,0.8,GDD50,8,0.6239225227354874,-0.8439261507581949,0.6787825804080188,-0.05155978961399657
evens,0.8,FHB_1,8,0.7186786712674197,0.8025437083171133,-0.6493623637991216,0.005129447848385279
evens,0.5,AUDPC,8,0.40192089402833975,0.728174170117988,-0.5938631161071883,0.1562098414114536
evens,0.5,Angle,8,0.41632651896805795,0.41661183588015194,-0.35903933067909377,-0.43812023342369694
evens,0.5,GDD50,8,0.3843650774668739,-0.723474305754511,0.5822970974956185,-0.0566363188476531
evens,0.5,FHB_1,8,0.36398310276923534,0.6976077176907505,-0.5646078668753876,0.046093024054354746
evens,0.2,AUDPC,8,0.1989282694467011,0.5566210327018751,-0.4448658213342818,0.12459482407010918
evens,0.2,Angle,8,0.05455517041167185,0.22579822552668105,-0.20349238238290898,-0.34353367115016825
evens,0.2,GDD50,8,0.186809136024281,-0.5184054051114745,0.4171955910091397,-0.0968606268962936
evens,0.2,FHB_1,8,0.18932103779769496,0.5581028801496145,-0.43903576803619254,0.05371542006270541
odds,1,AUDPC,8,0.9233731321498161,0.8867272287724021,-0.7013998533745086,0.2548665066922609
odds,1,Angle,8,0.7955534471215369,0.6888798582075875,-0.5801685050363303,-0.294805806266553
odds,1,GDD50,8,0.45144749168921977,-0.7718132489418504,0.6078058559573909,-0.06741092806355019
odds,1,FHB_1,8,0.9864052182947157,0.8517796258278647,-0.6615479139533462,0.2797905649472369
odds,0.8,AUDPC,8,0.7046754185652644,0.82333851249883,-0.6533913604438308,0.22823930554399827
odds,0.8,Angle,8,0.674142673213375,0.6771762803929567,-0.5566028210509818,-0.26105598025841814
odds,0.8,GDD50,8,0.547863507309486,-0.6730540814915398,0.553535591136525,-0.10056563838030111
odds,0.8,FHB_1,8,0.6970112613311858,0.8132933215427881,-0.6382673570665551,0.20225404391470642
odds,0.5,AUDPC,8,0.37804324906118764,0.7097511633018482,-0.5627952614160983,0.21365814767564484
odds,0.5,Angle,8,0.40720609317989026,0.5482627814361098,-0.457110990887944,-0.27683298691946684
odds,0.5,GDD50,8,0.3805952472821406,-0.68186329152898,0.5494311964060864,-0.0565442642911354
odds,0.5,FHB_1,8,0.3981789329857565,0.7105057517502352,-0.5648934756176365,0.16367383699537383
odds,0.2,AUDPC,8,0.21547695127164807,0.5589684813612279,-0.44809719361540484,0.15796167210025494
odds,0.2,Angle,8,0.06440536326109307,0.321160694073083,-0.2750443030496311,-0.26959735396586737
odds,0.2,GDD50,8,0.12709218261941407,-0.37909084449561364,0.2977570417058207,-0.08002013629171609
odds,0.2,FHB_1,8,0.22055285817196202,0.5609961499765596,-0.45801464056123753,0.10139621761720678
limits,1,AUDPC,8,0.823470773360001,0.8090646877816816,-0.6442639336358091,0.3221916801277919
limits,1,Angle,8,0.5935455424937255,0.47451667848638185,-0.4195053295175335,-0.48214106611067215
limits,1,GDD50,8,0.4424186616792384,-0.7288815278430655,0.5839731484689267,-0.14820421628926428
limits,1,FHB_1,8,0.8798357364116492,0.7232890834522319,-0.5537478693163004,0.499228364107409
limits,0.8,AUDPC,8,0.6888561048307128,0.810994008117581,-0.6424936090727511,0.2559742424237851
limits,0.8,Angle,8,0.6200937376314366,0.476833119671573,-0.41810583977336874,-0.4546312300973555
limits,0.8,GDD50,8,0.49850792416668044,-0.7917206975513053,0.632335449865015,-0.10666224367271503
limits,0.8,FHB_1,8,0.6906765155968596,0.7516329791458274,-0.5689261479150167,0.3700145703608348
limits,0.5,AUDPC,8,0.3947449472966897,0.7226463680735572,-0.5739168518635298,0.17569719441898643
limits,0.5,Angle,8,0.419931143090019,0.4217046805151963,-0.3812525521269083,-0.41548997119499
limits,0.5,GDD50,8,0.41620039399488123,-0.7154228302346667,0.574094320216042,-0.03836890139834111
limits,0.5,FHB_1,8,0.39243395516951063,0.6924349005462519,-0.5554139026945161,0.280421249960084
limits,0.2,AUDPC,8,0.19998605872210026,0.5622980818320225,-0.4603343724718508,0.14340485029633238
limits,0.2,Angle,8,0.05597180163522223,0.24493532989327144,-0.23273252834014332,-0.32533623870258604
limits,0.2,GDD50,8,0.14679844944964163,-0.4468995579899503,0.35118371172670065,-0.08846246214343535
limits,0.2,FHB_1,8,0.19094201792607776,0.5511756351018827,-0.4359065005531459,0.13889353266199497
pair1,1,AUDPC,8,0.8551510111709553,0.8577511882813382,-0.6876908089134876,0.2691499531818896
pair1,1,Angle,8,0.8089399558872304,0.690165110620252,-0.5832651072496697,-0.3048589846094717
pair1,1,GDD50,8,0.3875273093236561,-0.5125823218109395,0.42187352590402577,-0.09174756785504577
pair1,1,FHB_1,8,0.7383741723322902,0.7270118595525138,-0.6235385275039825,-0.23263707521165145
pair1,0.8,AUDPC,8,0.705826136432013,0.8296897042197104,-0.6531345824202714,0.24601867611254238
pair1,0.8,Angle,8,0.6873561221028811,0.6834261299234409,-0.5647965297823192,-0.2552129405343278
pair1,0.8,GDD50,8,0.4465706721688615,-0.5041461551811418,0.41275096702109104,-0.10881988606530431
pair1,0.8,FHB_1,8,0.6478414115067179,0.7346301300619307,-0.6147327398897697,-0.16853171341604012
pair1,0.5,AUDPC,8,0.3650655421066599,0.6970211208089556,-0.5624942771031833,0.19999435367827462
pair1,0.5,Angle,8,0.41519459561241423,0.5546131293710664,-0.45614689317860635,-0.27939253271714565
pair1,0.5,GDD50,8,0.3842381985802761,-0.6655831818900858,0.5521942552916831,-0.06096061996847683
pair1,0.5,FHB_1,8,0.3939031350516011,0.6573488776122889,-0.5443503378133812,-0.0775864486642552
pair1,0.2,AUDPC,8,0.19059086339912884,0.5410376313110592,-0.41816306399804004,0.1250324876149603
pair1,0.2,Angle,8,0.0792054793621805,0.32086889813216724,-0.28620153241997354,-0.25210389539626127
pair1,0.2,GDD50,8,0.15866963718292124,-0.511546605643371,0.41813244075615613,-0.051200532238018355
pair1,0.2,FHB_1,8,0.1732763434504451,0.5203630394480362,-0.41933408719678433,-0.005416575987875689
pair2,1,AUDPC,8,0.9080339777053801,0.877707360920702,-0.6958540750244304,0.21767402994143692
pair2,1,Angle,8,0.5971082097484671,0.47453220249094763,-0.4251957780543424,-0.4732212060314195
pair2,1,GDD50,8,0.7204591235680827,-0.8538782315977674,0.6766806404418497,-0.11968018782804381
pair2,1,FHB_1,8,0.9874382264653255,0.8532970359997313,-0.6613786457490258,0.2765614860469411
pair2,0.8,AUDPC,8,0.6552704481121853,0.8159024584181044,-0.6546514763489761,0.13802357966636528
pair2,0.8,Angle,8,0.6304724541881829,0.49771428965213993,-0.43120167744291077,-0.44904724471152135
pair2,0.8,GDD50,8,0.5919804844039519,-0.8266809366509207,0.6621380914104995,-0.055675789285902964
pair2,0.8,FHB_1,8,0.6927056869704686,0.82334191802547,-0.6433602512301393,0.20129903698161347
pair2,0.5,AUDPC,8,0.3697842161402366,0.713466624898971,-0.5669791289744534,0.13039866372224782
pair2,0.5,Angle,8,0.4373292164069106,0.41465409891815697,-0.3688826059869012,-0.4305986123275114
pair2,0.5,GDD50,8,0.3681193843032462,-0.7131837881416699,0.5638226375242031,-0.037215994503053414
pair2,0.5,FHB_1,8,0.36814939010134606,0.7153003211075623,-0.5396449812408667,0.1595848704489429
pair2,0.2,AUDPC,8,0.22301530191208557,0.5605027503752904,-0.44562868842968417,0.13188151060551398
pair2,0.2,Angle,8,0.07775979081703815,0.2462531766947005,-0.1955305306096736,-0.3463175366918497
pair2,0.2,GDD50,8,0.16831019054218946,-0.5144830895010933,0.4016242227461682,-0.05361550783180878
pair2,0.2,FHB_1,8,0.16033100396740538,0.5355632212875591,-0.42690682971475175,0.1128055713180729
first,1,AUDPC,8,0.776719894591889,0.5852808681984588,-0.43367232974632297,0.5965904581409653
first,1,Angle,8,0.6542399713168674,0.6569797862394219,-0.5006340826188136,0.5129155170117958
first,1,GDD50,8,0.12128089934691601,0.031406269171832014,0.0015406929880462587,0.34011947178067803
first,1,FHB_1,8,0.7193566423398086,0.6092832795486105,-0.4577248921393045,0.5735330979479418
first,0.8,AUDPC,8,0.686102958737499,0.6392982937657106,-0.48777903642477216,0.5206289728602591
first,0.8,Angle,8,0.5895901441504667,0.7038964029434656,-0.5534157558350234,0.4182700672963709
first,0.8,GDD50,8,0.09999630334389861,-0.14628133320178616,0.14203122557131953,0.005013251642385971
first,0.8,FHB_1,8,0.6448867500983143,0.679140591622017,-0.5147528966615181,0.48269938435966675
first,0.5,AUDPC,8,0.4110206836480636,0.617580702905437,-0.4764212661192163,0.4254983784208757
first,0.5,Angle,8,0.3285109093720386,0.671617384786318,-0.5441840642201147,0.20811878823780885
first,0.5,GDD50,8,0.2517115347633248,-0.44577152115032576,0.3449824209873282,-0.2885695623908449
first,0.5,FHB_1,8,0.4010719821710665,0.6605436926683043,-0.521696441603474,0.3794899454673347
first,0.2,AUDPC,8,0.20915208016793924,0.5455182526010088,-0.4244941820699911,0.24204774507075144
first,0.2,Angle,8,0.10513833795425442,0.44923650907799745,-0.3474954623500958,-0.06100187119870695
first,0.2,GDD50,8,0.12419218730403894,-0.44910946047530703,0.3574822739494516,-0.16089161113489864
first,0.2,FHB_1,8,0.22565573535894096,0.5564514515799979,-0.43474135506571415,0.19504992589165734
