Available,h2,Y.approach,Reps,phen.Value,inte.Value,a.Value,b.Value
all,1,AUDPC,28,0.9060275042615676,0.9034713023461148,-0.7206882661239018,0.1601121609299839
all,1,Angle,28,0.6035950595643464,0.4783157887345696,-0.4145852549707142,-0.4872988435963318
all,1,GDD50,28,0.7350270242854058,-0.9077650766501562,0.7296268151192769,-0.0864224102806774
all,1,FHB_1,28,0.9345932420782076,0.8575547098031484,-0.6909425106656321,0.016697227830430487
all,0.8,AUDPC,28,0.7175345524884943,0.8452742130392167,-0.6706129792931708,0.16444915013389963
all,0.8,Angle,28,0.6238959514221895,0.47456471452321447,-0.41263417400962155,-0.48234381662054915
all,0.8,GDD50,28,0.6079164410359499,-0.8474635480344206,0.670367856420083,-0.0511939159510981
all,0.8,FHB_1,28,0.7130200012355516,0.8203102848319471,-0.6483183558553741,-0.007890659813508906
all,0.5,AUDPC,28,0.3987775291912291,0.722129915407631,-0.5781351627755665,0.15100488104732965
all,0.5,Angle,28,0.44239558211650076,0.40007810073890654,-0.363230308955231,-0.4383227113723262
all,0.5,GDD50,28,0.36732800737903143,-0.720019740159767,0.5765563040078153,-0.05410969104838747
all,0.5,FHB_1,28,0.36056335775948534,0.6944818180649525,-0.5715255463517401,0.04267910530269768
all,0.2,AUDPC,28,0.1910898661098159,0.5597840638584265,-0.45127265957077173,0.13886752340544203
all,0.2,Angle,28,0.09411628471393724,0.25437206693538705,-0.24845820152269046,-0.3100278912708098
all,0.2,GDD50,28,0.20271885327800548,-0.5232625873296114,0.4173407537469664,-0.10198124037614237
all,0.2,FHB_1,28,0.19685685287853155,0.5553564249487678,-0.43796680002669114,0.05148182297289229
firsts,1,AUDPC,28,0.963859679754944,0.7588473185454764,-0.5773221859536442,0.49024264840881426
firsts,1,Angle,28,0.9525250377926079,0.8485476147847688,-0.6587872902384991,0.23848038581950975
firsts,1,GDD50,28,0.7483799397772313,-0.5355949725565905,0.42138700887724057,-0.27370124994950124
firsts,1,FHB_1,28,0.9836982891693209,0.848250864580738,-0.6588863032977461,0.28072468149207486
firsts,0.8,AUDPC,28,0.7363317302839177,0.7511494584370614,-0.5749978836021403,0.4120193386131767
firsts,0.8,Angle,28,0.634950181753061,0.7991090589484117,-0.6330450360090252,0.10927985818675459
firsts,0.8,GDD50,28,0.36226398719210046,-0.680153235850007,0.5249365465455956,-0.18622143858555046
firsts,0.8,FHB_1,28,0.6990702282901062,0.8167781665508883,-0.6429089464328785,0.20276974816322857
firsts,0.5,AUDPC,28,0.38866830072108666,0.6770042262762461,-0.5201136174208666,0.32760139507147795
firsts,0.5,Angle,28,0.3087210053397113,0.6803339870039837,-0.542543854383982,0.009175991889676853
firsts,0.5,GDD50,28,0.12573467584169942,-0.46192052144732637,0.36002949511774607,-0.22470785004206476
firsts,0.5,FHB_1,28,0.34999276065570833,0.7078008188928036,-0.5549871606318431,0.16261759204299384
