Env,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
BOKU,TS001,3858.9500522613525,0.9584899859949019,-44.793129317899,11.438886054267641
BOKU,TS002,2707.511185319163,-0.5676781257081984,-27.525499191280687,19.99328582515227
BOKU,TS003,1728.974395396188,0.3652705876249911,-12.82181323194527,8.500672242298606
BOKU,TS004,6194.436555143446,1.2190111853647068,-45.28245461542974,23.27090749002673
BOKU,TS005,-1292.7574864067137,-0.7507822942161511,28.377050366660114,-11.17518929227299
BOKU,TS006,4147.1192648923025,1.4752813016882556,-37.7391431259166,22.557560547124012
BOKU,TS007,-6010.303687355481,-0.7121135215029426,73.70389079654706,-37.39702979076537
BOKU,TS008,7442.384107656777,1.6662086201006332,-68.67233650269918,27.866387245088845
BOKU,TS009,-2043.385960701853,-0.0706764454050699,24.472865800722502,-8.151689783699112
BOKU,TS010,-3360.7977360831574,0.33872048209332206,39.83070832453086,-15.513098297502438
BOKU,TS011,-290.9508501626551,1.0714341404232073,-6.19052502445993,4.56180921493069
BOKU,TS012,-288.3340868568048,0.4503954459069064,-1.1830985000124201,-4.110960945086845
BOKU,TS013,2414.5650577368215,2.104612167679079,-29.465122156543657,14.00300075170162
BOKU,TS014,5442.146775545552,0.6204650230922653,-58.41068259393796,23.056559086046036
BOKU,TS015,3065.4832920012996,1.1850174578198676,-28.447357963450486,23.03681230358052
BOKU,TS016,-4403.934351505712,-1.794823913768596,49.94468637587852,-17.855319253892958
BOKU,TS017,-1969.7284528343007,-0.04698612615493403,22.296227092738263,-9.207287633038504
BOKU,TS018,-2829.136829539202,-0.6080425318455127,37.8053794860607,-7.698174708788429
BOKU,TS019,-4886.9453110406175,-1.4809994334705152,74.35084098301013,-29.110812029844965
BOKU,TS020,-5614.838278361596,-1.327683034906613,88.42441450606566,-34.38510557240079
BOKU,TS021,1385.681917537935,0.4423493242127279,-3.7440051843295805,4.585686624282971
BOKU,TS022,3602.4098010165617,1.0922499644182153,-36.217293595924275,16.12510828685845
BOKU,TS023,550.277404946275,0.3143508510045194,-8.1106937057338655,8.327541858510813
BOKU,TS024,964.118971769698,-0.47700682274148676,2.822448901919415,12.419682110430585
BOKU,TS025,2678.7540172254667,1.5376233932968262,-29.829533207113855,21.91086941636604
BOKU,TS026,-1083.3484883373603,0.6656750734282468,2.259902148449328,-3.452821079252317
BOKU,TS027,4340.046731187962,-0.1663592974682615,-46.0288291227771,20.66889927259399
BOKU,TS028,8752.37669272162,1.2813360297147938,-76.53823368393932,26.819862590607954
BOKU,TS029,-3345.915162127465,-1.2720882636995157,28.759463829628658,-16.032490314697498
BOKU,TS030,705.4383782334626,0.3537491389349725,-14.485616668825969,2.6788841015222715
BOKU,TS031,-5991.940200286917,0.22535960369714303,43.47055196980364,-40.9616092565775
BOKU,TS032,-6396.569559227675,-2.436170658852916,95.50386466222699,-36.55649727308628
BOKU,TS033,-4532.3702662093565,0.25291712490593454,23.581271931703668,-24.795109734081052
BOKU,TS034,-4330.960387672298,-0.7865253704435418,25.81944281674805,-10.969041739885142
BOKU,TS035,-4248.515514218248,-0.21703929134719147,30.027767259947723,-10.233769294100057
BOKU,TS036,-1173.3438771488145,-0.9132702586789492,13.634803186549107,-1.1147094879561337
BOKU,TS037,-3837.654519714415,0.10833614791977197,18.720264795265393,-16.69322871388067
BOKU,TS038,1055.902276430279,1.4639162484804729,-18.32413656573044,12.493152463583101
BOKU,TS039,-1578.3027820410207,2.214767495312117,-8.513508712261682,-1.973732105896488
BOKU,TS040,-4355.925095522776,0.7943570561642446,36.1182558327273,-31.22139593855536
BOKU,TS041,-2071.574867969379,1.167888109346677,7.923902354232268,-2.7824870889053273
BOKU,TS042,-4815.301231566817,-1.6033083522675042,43.6394763024,-32.64808501927473
BOKU,TS043,-2997.371736438945,1.436499952130589,9.039092454389902,-14.651077085545694
BOKU,TS044,-4028.0220427690074,-0.8087014541615645,62.91790681707789,-22.978945638173172
BOKU,TS045,-6357.650507399812,-0.527635836312129,67.29654344089795,-41.50881909253803
BOKU,TS046,-8183.195410660468,-3.198883571522856,85.53505772151402,-43.50929639715832
BOKU,TS047,-7432.604915755801,-2.904439130249557,96.40996803925373,-46.06168338565476
BOKU,TS048,-4370.493467084132,0.06747088687961877,46.31371084298007,-32.74681642165524
BOKU,TS049,-7260.493572361767,-2.446475185059171,81.63909193169093,-41.099014370163786
BOKU,TS050,-5286.853746858425,0.6967808235863231,38.193577693775296,-38.49074975678741
BOKU,TS051,-6090.426209992729,-1.435099154721911,63.10978540102951,-35.75056885279628
BOKU,TS052,-1288.6582587044686,1.3407328203059024,1.7134792425495107,-2.9524786218098598
BOKU,TS053,-3711.08761990536,-0.19690673057539243,18.547069840074982,-9.435188729730726
BOKU,TS054,-3668.236836911179,-1.0468741175309333,31.637881877977634,-7.356343648942129
BOKU,TS055,-7381.69270040933,-2.2963411588941653,119.19853858067654,-41.924188528875675
BOKU,TS056,-2144.8759251292795,-1.078114207422459,-0.49929925610194914,-13.618795503803995
BOKU,TS057,-6295.4968397198245,-2.3717751994879563,63.0361466028844,-33.22329898492535
BOKU,TS058,-4736.923381493427,-0.7585732192799242,42.815971510630334,-31.685183765646798
BOKU,TS059,1363.196605737321,0.438654059057626,-19.62166605720995,8.594487144997402
BOKU,TS060,-5960.841463193297,-2.4306149908964017,63.370351308374666,-25.319083032329218
BOKU,TS061,-5065.899845133536,-0.7159394564293962,39.17857836020994,-28.648696608688624
BOKU,TS062,-5515.339023186825,-1.3556152296553137,60.440111504722154,-30.96211410144315
BOKU,TS063,3973.1349672097713,1.8818891791624992,-41.279361687775236,21.56012870847553
BOKU,TS064,-420.41233719326556,1.2836467324905243,-7.322220764588565,5.419432058995881
BOKU,TS065,-1704.0748570803553,1.9339250932091545,8.929817579104565,-7.050816546066926
BOKU,TS066,-3797.660913195461,0.2877655212071204,12.348166691197548,-17.607679269647633
BOKU,TS067,-2219.2709833597764,0.47545303278934625,0.8385035533283371,-6.771752836677479
BOKU,TS068,4024.2201572610065,1.9116920554661192,-44.982256780873286,25.047836881505646
BOKU,TS069,-2048.7293796502054,1.0454704701214723,-7.34457425842993,-9.853432399904705
BOKU,TS070,-978.0794638423249,0.7578417144009109,-5.493452367372811,-0.11204685940538184
BOKU,TS071,-4077.3273782040924,0.5773600700351835,29.414249494759133,-20.642667092910415
BOKU,TS072,320.0966167971492,0.7941262682832075,0.5260082167224027,3.071691410499625
BOKU,TS073,-8636.301221839152,-4.307644628035405,78.70381274816464,-49.57877818998895
BOKU,TS074,-5412.809736752883,-2.0618106608426388,55.75070536707062,-28.15565793904898
BOKU,TS075,-4781.737466284074,0.4923612648517519,25.372735359560465,-23.237106710726948
BOKU,TS076,-7041.377647088841,-3.153789861522455,84.61010721267667,-43.25967054573266
BOKU,TS077,-4991.155910809524,-3.914211042210127,67.89555969310459,-15.414010535205307
BOKU,TS078,-5361.971083377488,-1.773800435492376,88.24573590056389,-37.449145751994365
BOKU,TS079,-8609.209365534596,-3.605004735809416,92.83930067601614,-46.53078707688837
BOKU,TS080,-1339.610598064959,-0.6655274865261163,16.054525469371583,-2.2145748756665853
BOKU,TS081,-444.29431912396103,0.7900864905113849,-2.457954318873817,4.582600035399082
BOKU,TS082,1450.6098859012127,0.6831267038508031,-18.297959792631445,2.0420258769081556
BOKU,TS083,-418.40444850735366,0.32157050895898465,6.914170654723421,1.3992303403101687
BOKU,TS084,4637.693439320661,1.2091410804678162,-42.90021487721242,22.42137342735805
BOKU,TS085,6396.862789971754,1.8679940663384969,-59.6301340162463,22.673672417691705
BOKU,TS086,-2395.606142337434,-0.018934203481194345,17.210077668860322,-5.882019629916613
BOKU,TS087,-939.534403136,-1.9750310925608119,-0.6358523005619645,-2.3801776156142296
BOKU,TS088,-1721.1910200547427,0.41305445953344133,13.14974281960167,-4.324271254103223
BOKU,TS089,-1936.0765455141664,0.21252756665853667,13.60398869367782,-4.292569391309371
BOKU,TS090,-2751.415081344545,-1.0292030454791075,41.50673473617644,-11.785648040153319
BOKU,TS091,-3525.89806035161,-1.424422808221152,38.967151954071596,-17.488045903897728
BOKU,TS092,2429.5101470304653,2.3972235528667625,-24.799121984047815,22.20106931621922
BOKU,TS093,949.0816731471568,-0.022692008335070568,2.4651693417108618,3.0059259735644446
BOKU,TS094,2916.145606916398,0.6342757579457157,-35.53511364094447,17.23458522254805
BOKU,TS095,1173.0638299658895,-0.3898605652477727,-8.618355084501673,3.5954075555346208
BOKU,TS096,-2783.137389712967,0.5396339736266782,27.277514659421286,-15.186677843186771
BOKU,TS097,4324.966296219267,0.8339642047117195,-21.828857710264856,9.544307444553851
BOKU,TS098,4926.512841312215,0.8175552907011934,-52.294594693143154,20.171589460584073
BOKU,TS099,1084.0525680119172,0.7949975303004067,-18.883180398814147,13.657580628398136
BOKU,TS100,-5311.375934121199,-1.9259857850149729,76.9658407320967,-27.648206212350487
BOKU,TS101,-3269.0274603227153,-1.2999157622309667,37.521517236571526,-10.780706279198057
BOKU,TS102,5688.488582635298,1.2162436569662987,-36.08356154698413,13.487820668233326
BOKU,TS103,1487.4354862459004,-0.0012102793714348081,-10.738166724098846,8.23584211848356
BOKU,TS104,1303.9004250084981,1.0050164019330623,-23.27642377858865,13.889548933741025
BOKU,TS105,421.8661338845268,1.2835628555933454,-13.438378421473317,14.416626546211774
BOKU,TS106,2583.294672558084,0.6605761855962555,-23.189019947574707,17.5486745016824
BOKU,TS107,-141.48618372809142,0.32172550303289427,-10.211410574411275,1.6040847884360119
BOKU,TS108,1659.1644868636504,-0.16009342318056952,-20.44391906709643,17.048025900963694
BOKU,TS109,-3841.724649729207,-0.9264891151378833,35.24001500438317,-22.417035825932544
BOKU,TS110,-1880.852320868522,-0.6407425478764708,17.98256386371213,-6.8902089108814835
BOKU,TS111,-2229.0886557567865,0.2767817596406985,24.922080727905268,-13.37287489802111
BOKU,TS112,-55.86422664113343,-0.10921955538219663,-1.8496256718644872,3.674344845901942
BOKU,TS113,8354.556046714075,2.204869957669871,-67.86894458183087,32.283861743337184
BOKU,TS114,6152.879481353797,0.6839123153908986,-57.11619883668027,21.869773953803815
BOKU,TS115,636.1157789863646,0.8792460963534268,-11.15157002946944,8.921862791070453
BOKU,TS116,4872.233110397123,0.7781491312907747,-47.26106557491585,23.534834256366594
BOKU,TS117,3995.157764548436,1.0424421769239416,-31.236995582235977,11.088527853789856
BOKU,TS118,4347.952417626977,1.6611132934851867,-47.189228211762384,21.996657578409213
BOKU,TS119,-1839.6502505810931,-0.6756203176564668,1.4000279764877632,-6.149569415945734
BOKU,TS120,1827.412924571894,-0.1508220898899708,-17.33061401345185,17.273873396065028
BOKU,TS121,2810.2793263113126,2.097081093672159,-28.28926768997917,20.602011174727522
BOKU,TS122,983.1343072801828,0.8391602168119334,-15.34484052535845,9.736562667512771
BOKU,TS123,-1502.281575217843,0.24995550604148775,15.579501620668452,-14.357799452947802
BOKU,TS124,6510.144470776431,0.7570537852143389,-63.07498126770952,24.274435075371002
BOKU,TS125,2056.3628821074963,0.5532246306561319,-22.011950756481383,11.531118237078772
BOKU,TS126,1007.4343098532408,0.23572086638205292,-8.869490280747414,15.894113588419714
BOKU,TS127,1732.4490910703316,0.7643796279048729,-22.748166589153698,8.300317008754064
BOKU,TS128,3888.7540092738345,0.552616927124518,-28.51308193159639,16.650526878067467
BOKU,TS129,1998.698751299642,0.09526489401923754,-31.333275728829904,7.024695407209947
BOKU,TS130,1792.2261023148894,-0.23162115518812243,-20.47085808456177,8.547223423214746
BOKU,TS131,-2782.8153180256486,-0.19071186999349266,22.967036872694734,-10.320075687755889
BOKU,TS132,3653.488557115197,1.155679224895266,-29.816805646725697,22.857894976932585
BOKU,TS133,-4969.9160651871935,-1.2711657592606116,42.50001623068238,-20.632435692652507
BOKU,TS134,2290.6874866448343,-0.34851738406314325,-20.495499807962915,10.500989097257843
BOKU,TS135,5546.760952332988,0.442403950433345,-50.462565775291296,19.44960750986138
BOKU,TS136,2461.0575348418206,0.8798745637291177,-29.985237289220095,18.441588187852176
BOKU,TS137,10826.629763755016,1.6614506748735494,-100.58969318986055,32.48230066886026
BOKU,TS138,-1181.9046901511028,0.4951641747461508,3.1678838602965698,-1.0856837937462842
BOKU,TS139,3579.2869229437783,-0.18144264336501692,-32.5984714771912,14.769514062802045
BOKU,TS140,-745.13740746025,-0.04050529231426481,-2.429576991358772,2.8623150235653156
BOKU,TS141,2031.1585046947002,1.249448607381737,-21.56766565403086,17.02569165283785
BOKU,TS142,3533.832335134037,-0.37282346609390515,-42.22012755944161,14.879725357335701
BOKU,TS143,8453.11843456328,1.6031584560339525,-76.7199478248076,35.47214045442888
