Year,Rep,GID,a_1,b_1,a_0.8,b_0.8,a_0.5,b_0.5,a_0.2,b_0.2,Integral,GDD0,GDD30
2020,1,TS054,2.438469033531805,0.5579478877275514,2.5583047208183816,0.5299194465774908,2.0127699326673696,1.2787084845322974,1.340920254182627,1.5959647305194284,1.2625843925767652,1210.6031702649996,1575.3604619149996
2020,1,TS055,1.9407142545528844,0.5265715538305846,1.7693927634675921,0.7053051036135054,1.7873686500345995,0.8689188618851524,0.3485863393823898,1.9653315949815902,1.714013737391898,1210.6031702649996,1575.3604619149996
2020,1,TS056,3.3236867772440766,0.48883937438917985,3.7130131704656826,0.6128979386214649,4.373429425909599,1.0290790290288008,2.8881975769394277,1.796607287120376,0.526583640613683,1210.6031702649996,1575.3604619149996
2020,1,TS057,2.6970716745289396,0.7458127298540417,2.8255344921490946,0.8410612281862502,2.4510852689334883,1.0860080615830432,1.8986650506439071,2.147611313270674,1.114586115596321,1210.6031702649996,1575.3604619149996
2020,1,TS058,3.3281830547627647,0.2953517336123255,3.977570858346443,0.49823533467206427,3.3958900090128616,0.5592199841284807,1.6661889816592617,1.2086182385032032,0.3557108479983846,1203.7667119349996,1561.6271285849996
2020,1,TS059,2.9064698013697887,0.4366391002984054,3.0114124867475707,0.43789831319038247,3.6033200374799037,1.0284142988718985,2.42560144373224,0.43641809885433736,0.7564349306959173,1203.7667119349996,1561.6271285849996
2020,1,TS060,3.0378062485721986,0.619360501137229,2.874169347734854,0.7106315746511502,3.3868112051625228,1.2083980504459975,3.0290960457808676,1.1294565652938506,0.8018100532065517,1210.6031702649996,1575.3604619149996
2020,1,TS061,2.792054159104125,0.5572621342429462,2.4310093713344543,0.6496504799706047,3.2189158465051895,0.9204994650067047,1.3658295175282902,1.7078379740715133,0.9605257419706899,1210.6031702649996,1575.3604619149996
2020,1,TS062,3.5407734133877575,0.46638694880516096,3.493310324696801,0.5141090571912132,2.7161143467479594,0.906666889106491,2.9120888248053327,2.0194407298056096,0.5256514587986998,1235.7771285949996,1624.1937952449996
2020,1,TS063,2.9195175565510985,0.4364690722544747,3.2093076763736885,0.4602763690160779,2.2110242967502405,0.7173421904216029,3.0631984055544073,1.1031873895427198,0.7456580908663919,1203.7667119349996,1561.6271285849996
2020,1,TS064,2.6689652733449445,0.7242980690182558,2.5922511538624464,0.9381241343347955,2.109279847846927,1.2461563684624908,2.0081535498028518,2.107405932567266,0.9808130832438744,1196.6198369349995,1542.3781702549995
2020,1,TS065,2.6167012583258282,0.7211278462432587,2.8633279388445776,0.7726172334047203,2.3013830306216327,0.8729993886029945,2.899659294435471,2.55341964500307,1.312557726526359,1225.3302535949997,1607.7604619149995
2020,1,TS066,2.0182422112882588,0.6933434597327695,1.8252386253766955,1.0784888526253862,2.0500804528750622,1.0118511287420477,3.9077643155784996,2.178407092437401,1.5930613209309952,1203.7667119349996,1561.6271285849996
2020,1,TS067,3.0608934658788707,0.4006188486613079,2.8385308056977694,0.6048637141376029,2.1676705013477777,0.8764483684077808,3.0734809714352718,2.022838241090435,0.6698143297219237,1210.6031702649996,1575.3604619149996
2020,1,TS068,2.052424298113996,0.34737085409768503,1.8297319632831066,0.5707070849164675,2.6934773775371683,0.88728775144577,1.696907386199404,2.1694631024549,1.7044346184699122,1215.2187952649997,1590.7417119149995
2020,1,TS069,2.70978481437395,0.5559954270111939,2.6060369892364283,0.8299940321890154,2.8796819235620275,0.5603280884353723,2.363372721594497,2.2232552062384796,1.1201450937525612,1215.2187952649997,1590.7417119149995
2020,1,TS070,2.740446059408103,0.3417145521664059,2.6439279940722273,0.4942573925958654,3.424063484570863,1.0604459952375724,3.40335949372136,2.039153440686323,1.0317722526151023,1215.2187952649997,1590.7417119149995
2020,1,TS071,3.3720718969377637,0.6179629243168688,3.0314222765276595,0.9828949772520894,3.9363485851898394,0.7325543595255382,4.450335399676166,1.6742068233981202,0.5375623228123012,1203.7667119349996,1561.6271285849996
2020,1,TS072,2.7195672902895978,0.8557221977018439,2.2799583884752344,0.754361636030568,3.554340580059531,1.4161369239203736,4.30619835988834,2.515816683245589,1.091280819403544,1203.7667119349996,1561.6271285849996
2020,1,TS073,2.734091916357992,0.5709337836720668,2.2857787300765557,0.6221722461144916,3.2222562705438276,1.0478504877118544,3.5187341025206726,1.9154104547007478,0.8604211143153258,1196.6198369349995,1542.3781702549995
2020,1,TS074,2.0538612927572233,0.27848249513433326,2.6114524088420406,0.40320220897319015,2.236053320944065,0.8150779916389335,2.9461170925926314,1.969726110988829,1.7018114830729467,1215.2187952649997,1590.7417119149995
2020,1,TS075,1.9261939508000236,0.5209016070101017,1.388479203299784,0.5324951389557803,1.0916335957242516,1.4279920421930512,2.121637548154835,2.6832776939862515,1.7274108425646801,1210.6031702649996,1575.3604619149996
2020,1,TS076,3.049619233797763,0.517106835356211,3.015296681827858,0.783319144036811,2.038285500520792,0.7030390660469474,-0.03209541855619369,1.9363043290802895,0.7379943943401335,1210.6031702649996,1575.3604619149996
2020,1,TS077,3.113384098090319,0.44663294859616065,3.3456481799220863,0.3267754423622686,3.616934227189009,1.0288069342711046,2.374746110483441,1.4105398736955546,0.7366443154453854,1215.2187952649997,1590.7417119149995
2020,1,TS078,2.393038533505241,0.490138200146352,2.547056389546505,0.6438184739701531,1.3926129560996616,1.3418640111050832,1.853569737297363,1.2992266509672845,1.5102790686067897,1235.7771285949996,1624.1937952449996
2020,1,TS079,3.4558766675585075,0.4943715290772161,2.9588378915686553,0.7980160179387568,3.451454379348986,0.8893082805018875,4.348737220185907,1.9582714507952155,0.5142136715380663,1215.2187952649997,1590.7417119149995
2020,1,TS080,2.638225196978355,0.18475697571613167,2.7356047558682586,0.325780082065004,2.444774238452366,0.8950011216424296,1.8783414680694308,1.7105707133331798,1.117440800621611,1215.2187952649997,1590.7417119149995
2020,1,TS081,3.0245127542793493,0.39179460616732364,3.2455858133553264,0.6506579043325438,3.993439372861933,1.0687598662758564,5.279602784200155,1.5610307658750346,0.6955803633088653,1210.6031702649996,1575.3604619149996
2020,1,TS082,2.6713872668581233,0.48609563386478966,2.686759955574345,0.5282620030720027,2.5189001173393004,0.6973594765764426,4.579982970489738,1.0506623213746562,1.1942898118208745,1225.3302535949997,1607.7604619149995
2020,1,TS083,2.747024954647346,0.8724014800510733,2.5623359418536515,1.017498733531411,2.394767623419499,1.5913533650856244,2.6470839843562506,2.6406752532442463,1.2103506742797712,1215.2187952649997,1590.7417119149995
2020,1,TS084,2.530589795169739,1.1111994289104588,2.9452565573749143,1.2718589920076069,2.2375779598536245,1.472425882887549,3.496261794808563,3.762094785275166,1.3049726485894495,1203.7667119349996,1561.6271285849996
2020,1,TS085,2.662083165259479,0.4918194842471904,2.4297679647378163,0.5594714366265956,3.1616464936394,0.9966540938046318,1.7207446148196102,1.7101144279732647,0.7984736438280784,1189.9542119349996,1525.4792119249996
2020,1,TS086,3.2302208166802213,0.37342842573793816,2.8175578493847278,0.40383407682976336,3.7059176362456347,0.8021345138923885,1.7210194696607186,1.8561736291010247,0.47220126765775206,1203.7667119349996,1561.6271285849996
2020,1,TS087,1.3670293744969928,0.708781874835631,0.6685091730311596,0.9182524582275651,1.2682830142521666,1.335629691041846,2.333848177008572,2.5632840109681396,2.3159972155888324,1215.2187952649997,1590.7417119149995
2020,1,TS088,3.177322749114745,0.18039291460318693,3.0898040615654394,0.43422060388725453,2.8741136432646903,0.9635964824658327,2.097648822416896,0.8879566704712001,0.5850883333507002,1215.2187952649997,1590.7417119149995
2020,1,TS089,3.103433497376755,0.5496296467365365,3.3723231561456015,0.6781245823144018,4.363724207181325,0.9471650604431519,4.463159045469572,2.1656134308384383,0.8977366812094076,1235.7771285949996,1624.1937952449996
2020,1,TS090,2.7017834687574735,0.35842869477239286,2.4713422162160517,0.5500579016663845,3.7471807562172916,0.7520230918494386,1.9395495290239932,2.168306952959308,0.9703359426774827,1210.6031702649996,1575.3604619149996
2020,1,TS091,3.0869504903622795,1.0930790801250274,3.5849190678212786,1.111934715291972,2.9899243524076207,1.5128140872885272,0.09803119590357978,2.3678588400362894,0.9678688133631259,1203.7667119349996,1561.6271285849996
2020,1,TS092,2.2419884062658513,0.5565986609473508,2.726413687902106,0.57783512874571,1.6159237841686078,0.94693707359891,0.2728668482642438,1.280072265596404,1.5389676139689206,1215.2187952649997,1590.7417119149995
2020,1,TS093,2.174624931730005,0.15323740760404322,2.679259732843594,0.43641734111813574,2.317205386070464,0.6771024994345145,3.5289136798063483,1.4765298902214172,1.5806092078721115,1215.2187952649997,1590.7417119149995
2020,1,TS094,1.8618318877695654,0.8528945963550425,1.9676166994158621,0.9658691833664121,2.7233933842670908,0.9687621782166054,1.594329235815386,1.4175831537672055,1.7937647839438755,1210.6031702649996,1575.3604619149996
