GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
TS001,578.8179586711703,-0.3433256219377314,259.79802141879463,-2.9225499358620013
TS002,1662.217675685672,0.3243116241384607,-78.57165967729145,7.315554899700551
TS003,226.28744319650878,-0.09308674849408383,-56.71229383133948,-2.2800051990815753
TS004,2667.5166407907714,0.7775499272284261,34.769579826095764,7.208568165970149
TS005,-2056.4566766641196,-1.4493578393066717,828.3440980799519,-14.656184224084898
TS006,3713.2883206647034,2.2207906348066397,-339.2115966224991,19.030816275169517
TS007,-4207.297950746932,-1.448970994972444,286.52758773933033,-23.603314404666186
TS008,5300.950582951486,1.9991373378771806,-272.0366247706571,22.90196092944652
TS009,-397.3479244468231,0.5431003812158193,-150.14733872735167,-1.4041912642570473
TS010,-2011.9694490969432,-0.3646894300917367,238.0191280056431,-11.516445219707954
TS011,-464.6459733647307,0.4506033069470474,-162.7870320792549,4.930606850772904
TS012,-960.4195864651101,-0.5941109464410803,448.68529218234266,-6.493285148756014
TS013,2449.966297078589,1.2921013446927945,-104.33918670543528,13.403289432536152
TS014,1523.545129080771,-0.1913784960587761,224.66569607225847,1.2335657692575381
TS015,2499.6036581562307,1.0257336312875052,-97.6770603882635,10.401293623420504
TS016,-2988.9950454324685,-1.495034164450514,319.8519185992802,-14.37227143411594
TS017,-526.1189998270293,0.24936652814434623,-157.87072806490676,-0.648680617610573
TS018,-1872.5191146075226,-0.7382494282257982,268.24762978142326,-11.182020741671604
TS019,-3216.7042335368774,-1.4093876557406761,23.592382843042287,-20.542177118821726
TS020,-4040.4775453149373,-1.8721806771197786,486.1519664462917,-24.26029106560987
TS021,-754.4681380426987,-0.6863827869734008,195.51553645018362,-6.417623854944816
TS022,2675.7543270973224,1.5369261991983554,-282.6894329274868,17.269491785130075
TS023,1874.2177209444785,1.5336137094559903,-308.2166629440487,13.880550630208287
TS024,536.5558444540807,0.3522631338898816,-200.86101814573124,7.821414769661811
TS025,800.9385612327615,0.7189988435184138,-265.4904842337089,10.140294921386271
TS026,-941.2710850097519,0.009775226516394397,25.11757226026691,-2.8429208801226693
TS027,3568.806775007158,1.1588272678136193,-307.91512329424245,13.893690115921782
TS028,5427.66808424271,1.1618461216711853,-143.86203044676995,19.56881498651904
