Date,Env,GDD
2019-10-22T00:00:00Z,BOKU,470.9177083259999
2019-10-22T00:00:00Z,NMBU,206.00000000000009
2019-10-23T00:00:00Z,BOKU,478.2708333259999
2019-10-23T00:00:00Z,NMBU,210.4000000000001
2019-10-24T00:00:00Z,BOKU,485.32499999599986
2019-10-24T00:00:00Z,NMBU,214.7000000000001
2019-10-25T00:00:00Z,BOKU,494.4093749959999
2019-10-25T00:00:00Z,NMBU,218.9000000000001
2019-10-26T00:00:00Z,BOKU,498.9447916629999
2019-10-26T00:00:00Z,NMBU,218.9000000000001
2019-10-27T00:00:00Z,BOKU,506.54687499299985
2019-10-27T00:00:00Z,NMBU,218.9000000000001
2019-10-27T00:00:00Z,Secobra,7.4
2019-10-28T00:00:00Z,BOKU,510.26041665999986
2019-10-28T00:00:00Z,NMBU,218.9000000000001
2019-10-28T00:00:00Z,Secobra,10.4
2019-10-29T00:00:00Z,BOKU,512.4708333269998
2019-10-29T00:00:00Z,NMBU,218.9000000000001
2019-10-29T00:00:00Z,Secobra,12
2019-10-30T00:00:00Z,BOKU,512.4708333269998
2019-10-30T00:00:00Z,NMBU,218.9000000000001
2019-10-30T00:00:00Z,Secobra,12.4
2019-10-31T00:00:00Z,BOKU,512.4708333269998
2019-10-31T00:00:00Z,NMBU,218.9000000000001
2019-10-31T00:00:00Z,Secobra,12.4
2019-11-01T00:00:00Z,BOKU,514.5124999939998
2019-11-01T00:00:00Z,NMBU,218.9000000000001
2019-11-01T00:00:00Z,Secobra,12.4
2019-11-02T00:00:00Z,BOKU,517.6104166609998
2019-11-02T00:00:00Z,NMBU,218.9000000000001
2019-11-02T00:00:00Z,Secobra,18.5
2019-11-03T00:00:00Z,BOKU,525.4583333309998
2019-11-03T00:00:00Z,NMBU,218.9000000000001
2019-11-03T00:00:00Z,Secobra,22.4
2019-11-04T00:00:00Z,BOKU,532.0916666609999
2019-11-04T00:00:00Z,NMBU,218.9000000000001
2019-11-04T00:00:00Z,Secobra,27.099999999999998
2019-11-05T00:00:00Z,BOKU,534.3572916609999
2019-11-05T00:00:00Z,NMBU,218.9000000000001
2019-11-05T00:00:00Z,Secobra,29.099999999999998
2019-11-06T00:00:00Z,BOKU,538.3999999939998
2019-11-06T00:00:00Z,NMBU,218.9000000000001
2019-11-06T00:00:00Z,Secobra,29.299999999999997
2019-11-07T00:00:00Z,BOKU,541.6968749939998
2019-11-07T00:00:00Z,NMBU,218.9000000000001
2019-11-07T00:00:00Z,Secobra,29.699999999999996
