h2,Year,Rep,GID,Obs,GDD,Value,GDD0
1,2020,1,TS001,n0,1196.6198369349995,5.375610405721622e-4,0
1,2020,1,TS001,n1,1294.9594202649996,0.011895080572974023,98.3395833300001
1,2020,1,TS001,n2,1335.5604619249998,0.04163181816383588,138.9406249900003
1,2020,1,TS001,n3,1389.444836925,0.19259779264335827,192.82499999000038
1,2020,1,TS001,n4,1439.8729619249998,0.5400858153031388,243.2531249900003
1,2020,1,TS001,n5,1486.8021285949997,0.8380786052407035,290.18229166000015
1,2020,1,TS001,n6,1542.3781702549995,0.9677238940006366,345.75833332
1,2020,1,TS002,n0,1210.6031702649996,0.017917575675930508,0
1,2020,1,TS002,n1,1314.7021285949995,0.07647271964218026,104.09895832999996
1,2020,1,TS002,n2,1366.472961925,0.14943977559208788,155.86979166000037
1,2020,1,TS002,n3,1415.6583785849998,0.26418967888599665,205.05520832000025
1,2020,1,TS002,n4,1458.1062952649995,0.39950964293491076,247.50312499999995
1,2020,1,TS002,n5,1510.2677535949997,0.5867223048686946,299.66458333000014
1,2020,1,TS002,n6,1575.3604619149996,0.7852069107616029,364.75729165000007
1,2020,1,TS003,n0,1203.7667119349996,4.009597926045464e-5,0
1,2020,1,TS003,n1,1303.7396285949997,0.0013429995664440324,99.97291666000001
1,2020,1,TS003,n2,1349.4458785949998,0.006656037888477122,145.6791666600002
1,2020,1,TS003,n3,1402.415670255,0.041313108260166743,198.64895832000025
1,2020,1,TS003,n4,1449.1708785949995,0.18219075397700832,245.40416665999987
1,2020,1,TS003,n5,1498.3667119249997,0.5565050212831533,294.59999999
1,2020,1,TS003,n6,1561.6271285849996,0.9205419353203453,357.86041664999993
1,2020,1,TS004,n0,1210.6031702649996,0.01746296409502903,0
1,2020,1,TS004,n1,1314.7021285949995,0.08188347284442869,104.09895832999996
1,2020,1,TS004,n2,1366.472961925,0.16591904099662952,155.86979166000037
1,2020,1,TS004,n3,1415.6583785849998,0.29886776740396037,205.05520832000025
1,2020,1,TS004,n4,1458.1062952649995,0.4514141444889311,247.50312499999995
1,2020,1,TS004,n5,1510.2677535949997,0.6486911196888437,299.66458333000014
1,2020,1,TS004,n6,1575.3604619149996,0.8350586318985139,364.75729165000007
1,2020,1,TS005,n0,1225.3302535949997,1.8598284821019643e-4,0
1,2020,1,TS005,n1,1335.5604619249998,0.007178850782814586,110.2302083300001
1,2020,1,TS005,n2,1389.444836925,0.041481199727924425,164.1145833300002
1,2020,1,TS005,n3,1439.8729619249998,0.1876041855281398,214.5427083300001
1,2020,1,TS005,n4,1486.8021285949997,0.5231477516761326,261.47187499999995
