Geno,family,S_number,S_fresh,S_dry,B_weight,B_height,B_width,B_shape,H_cluster,H_rachis,P_cluster_weight,P_cluster_loss,P_rachis_weight,P_rachis_loss
G_5.4.156,111,2.8125000000001004,0.15053375000001895,0.07169500000001026,1.1806444237574063,1.512761821875999,1.3688687184678,1.1184014219460463,346.97368484893155,12.834973336976695,306.97027708358127,4.840307993781874,9.724324823643231,26.861642367493904
G_5.4.157,111,1.6999999999999849,0.09200999999999944,0.03168999999999476,-0.29929870594868113,1.0268151693929355,0.9512380185396844,1.0816083413001176,63.85863207128364,5.7588436880398355,NA,NA,NA,NA
G_5.4.158,111,0.13333333333335662,0.00229500000003034,1.6666666667692397e-4,2.0874276417472895,1.621200588061836,1.4570548631552385,1.1087135883743724,463.9621633710479,12.351404567327393,NA,NA,NA,NA
G_5.4.16,411,-5.728750807065809e-14,7.202571872255703e-15,4.793474644992912e-15,1.8985503653075688,1.7000760060916276,1.4408707797714384,1.190331495595658,368.68584392699154,7.6505943056333265,621.8962446336521,3.1993947146085495,10.546672025319682,12.698841508081458
G_5.4.163,111,2.3833333333334075,0.02692499999999764,0.0064533333333327,0.8412990476449855,1.301189312050833,1.2391536000944658,1.0677008022183416,365.4939481735412,10.225247851537535,NA,NA,NA,NA
G_5.4.164,111,0.6000000000000678,0.00254666666666565,6.722222222223981e-4,1.8361354533453385,1.4737773228622797,1.4386898058621294,1.0415158541205431,223.65583990092284,10.88005257530051,207.77921271821248,4.327018961166422,8.844896025613423,25.455263145298925
G_5.4.165,111,1.0600000000000112,0.11641799999998909,0.06828199999999374,1.1525890277128454,1.4462871801963642,1.370163836942318,1.0827802034075833,187.45711578258863,8.512615607009202,NA,NA,NA,NA
G_5.4.169,111,2.6400000000000805,0.15462799999999696,0.08483399999999948,1.9822638336040224,1.622953800695385,1.475688229794657,1.112368881209263,288.0449479414354,9.96531800944575,NA,NA,NA,NA
G_5.4.17,411,-1.587618925213974e-13,-4.629976957382098e-15,-2.9858927830250792e-15,2.605672442544453,1.8274185986667089,1.5403098181741646,1.1835724222361257,323.89685092877704,13.954148530254528,NA,NA,NA,NA
G_5.4.170,111,1.857142857142871,0.00944000000000064,0.00239285714285895,1.4870264536255984,1.5753985367311674,1.3421518055901198,1.1873429423555255,462.3923197183204,13.813341171548256,NA,NA,NA,NA
G_5.4.174,111,2.5600000000001852,0.15223800000001644,0.07232400000000903,1.4606523868520678,1.4693101480878723,1.4291124450322783,1.0562057307628685,580.9800431333942,16.324963195311792,NA,NA,NA,NA
G_5.4.18,411,1.9833333333333507,0.12580499999998446,0.07797166666665711,0.6195132447365337,1.555545903549994,1.2286807426357,1.2569882863352526,438.8770783555579,16.42153357091303,301.1590623655626,3.0197573671084057,9.204701891210677,56.64510669351304
G_5.4.2,411,1.757142857142877,0.16725428571429585,0.09624142857143286,1.3747756100260495,1.795019216249928,1.287570552917021,1.3493523254767057,217.26596284404351,10.124772514159162,353.9923935723622,2.749646636332573,7.754960023951277,42.84179633808506
G_5.4.21,self,1.2444444444444438,0.01047111111111571,0.00305444444444655,1.8475503447631807,1.700881573351548,1.39500316458047,1.2232818010389532,303.03479382910507,8.529379023014474,285.73085952749443,5.470852586574262,6.347500825182968,24.84470737787568
