gid,S_number,S_fresh,S_dry,B_weight,B_height,B_width,B_shape,H_cluster,H_rachis,P_cluster_weight,P_cluster_loss,P_rachis_weight,P_rachis_loss
gidG_23,1.240740740740747,0.011472592592592692,0.00310181481481328,3.0120228237433007,2.1217634000720547,1.561688618608065,1.3573916317839338,729.5487194715206,16.030106397112817,609.6185207858562,3.0212478828636633,11.904142025463058,21.267299760500823
gidG_5.1.111,2.2333333333333694,0.13020333333334483,0.07209333333333759,1.2007383523786759,1.5065770830658907,1.3518173955935493,1.1292510744127657,371.44630007087557,12.685569434878133,438.7077978174633,3.805652208052658,12.321808029425627,15.876990823945714
gidG_5.1.123,2.7500000000001954,0.03301999999999912,0.010414999999999928,1.7327904482663723,1.6194126146289676,1.447983057447653,1.1293973755555422,403.6116277653222,10.864837188889233,NA,NA,NA,NA
gidG_5.1.125,1.4666666666666508,0.02983666666666704,0.009485000000000719,2.4827942968813224,NA,NA,NA,538.9777033425405,12.393291943252324,327.7116329295754,4.703591885384819,6.240456026346571,60.98778196389429
gidG_5.1.126,0.7374999999999492,0.0029300000000003247,0.001304999999999809,4.062422137107256,2.5314895903750987,1.6071471222822025,1.5583712889277657,383.5843605016278,8.80894684181844,NA,NA,NA,NA
gidG_5.1.129,0.5599999999999669,0.0026239999999983638,4.4599999999880933e-4,1.718572607159421,1.8151028825372328,1.3774016716240751,1.315012450895132,264.2161093325912,9.321254771389619,NA,NA,NA,NA
gidG_5.1.130,1.04444444444447,0.015459999999998253,0.006327777777777253,2.9618183511697076,1.9545669286923328,1.6346986941540695,1.2047264386256324,348.9378334555089,8.285846967076289,478.9101800095886,4.529945417333543,8.888378823386965,1.2417008715636761
gidG_5.1.133,1.3250000000002342,0.01795499999999137,0.004677499999994678,1.9164397736564223,1.803661377571685,1.384934306192806,1.3070698960976996,317.0420045847478,7.778070290318238,NA,NA,NA,NA
gidG_5.1.135,1.149999999999974,0.009085000000003176,0.003100000000000916,1.159465876871514,1.4572769479656031,1.2403371152229685,1.1783227262202942,311.2119060085754,8.247334014307842,237.0731574049771,3.27508997984271,6.744076822446033,23.18461378053818
gidG_5.1.137,1.4875000000000589,0.01678249999999297,0.004941249999996785,1.8415091789701685,1.6431462124006697,1.4362857650473801,1.1494817282618235,319.2716116314748,10.292267566890413,289.9395084662062,2.9076926339904303,7.473288823814385,37.907045605162715
gidG_5.1.138,0.19999999999988827,3.4600000000439314e-4,7.000000000157618e-5,0.7854641930185897,1.438220283754292,1.1439597215308277,1.2581037261637626,245.55341833486744,8.358734926056183,NA,NA,NA,NA
gidG_5.1.140,0.4999999999999024,0.002466666666665236,4.8333333333265126e-4,1.907294366073769,1.9766466344981237,1.3194621087881504,1.4872302323769346,252.09189712813924,8.150875387675182,NA,NA,NA,NA
