season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_23,1,R1,1.3546511627906976,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.3076923076923077,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.3416149068322982,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.2625,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.4424242424242424,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.272727272727273,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.1241830065359477,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.4065934065934065,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.2756410256410255,16,0.004270000000000001
2020,jardin,G_23,1,R1,1.3426966292134832,16,0.004270000000000001
2020,jardin,G_23,1,R2,1.3410404624277457,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.290909090909091,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.4035087719298245,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.3076923076923077,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.2951807228915664,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.4413793103448276,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.3597560975609757,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.2312925170068028,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.1543624161073824,17,0.0061299999999999966
2020,jardin,G_23,1,R2,1.2066666666666668,17,0.0061299999999999966
2020,jardin,G_23,1,R3,1.461038961038961,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.631578947368421,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.3725490196078431,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.4640522875816995,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.5,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.5973154362416107,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.2980132450331126,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.3221476510067114,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.4970059880239521,16,0.0025900000000000033
2020,jardin,G_23,1,R3,1.6428571428571428,16,0.0025900000000000033
2020,jardin,G_23,2,R1,1.4035087719298245,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.3548387096774195,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.423529411764706,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.3227848101265822,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.3373493975903616,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.297872340425532,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.4067796610169492,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.386904761904762,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.3932584269662922,19,0.008590000000000004
2020,jardin,G_23,2,R1,1.4269005847953216,19,0.008590000000000004
2020,jardin,G_23,2,R2,1.35,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.3725490196078431,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.2628205128205128,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.4025974025974026,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.4133333333333333,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.355421686746988,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.4444444444444444,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.2814814814814814,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.4749999999999999,18,0.0035899999999999986
2020,jardin,G_23,2,R2,1.36094674556213,18,0.0035899999999999986
2020,jardin,G_23,2,R3,1.3459119496855345,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.25,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.3670886075949367,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.5133333333333334,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.303225806451613,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.3642384105960266,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.4324324324324325,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.4155844155844157,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.3856209150326797,18,0.002030000000000004
2020,jardin,G_23,2,R3,1.3984375,18,0.002030000000000004
2020,jardin,G_23,3,R1,1.4388489208633095,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.3108108108108107,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.4640522875816995,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.4482758620689655,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.450980392156863,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.3333333333333333,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.471830985915493,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.4429530201342282,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.3461538461538463,18,0.0025499999999999967
2020,jardin,G_23,3,R1,1.476510067114094,18,0.0025499999999999967
