season,family,gid,plant,replicated,S_number
2020,jardin,G_Centennial,1,R1,1.6
2020,jardin,G_Centennial,1,R2,1.9
2020,jardin,G_Centennial,1,R3,1.7
2020,jardin,G_Centennial,2,R1,1.8
2020,jardin,G_Centennial,2,R2,0.8
2020,jardin,G_Centennial,3,R1,1
2020,jardin,G_Centennial,3,R2,1.3
2020,jardin,G_AG.Isioum,1,R1,2.1
2020,jardin,G_AG.Isioum,1,R2,2.1
2020,jardin,G_AG.Isioum,1,R3,2.2
2020,jardin,G_Csaba.Gyangye,1,R1,1.3
2020,jardin,G_Csaba.Gyangye,1,R2,1.6
2020,jardin,G_Csaba.Gyangye,2,R1,1.4
2020,jardin,G_Csaba.Gyangye,2,R2,0.4
2020,jardin,G_Csaba.Gyangye,2,R3,1.4
2020,jardin,G_Csaba.Gyangye,3,R1,1.1
2020,jardin,G_Ilusion,1,R1,2.4
2020,jardin,G_Ilusion,1,R2,2
2020,jardin,G_Ilusion,2,R1,2.4
2020,jardin,G_Ilusion,2,R2,2.3
2020,jardin,G_Ilusion,2,R3,1.5
2020,jardin,G_Ilusion,3,R1,2.4
2020,jardin,G_Ilusion,3,R2,1.9
2020,jardin,G_Ilusion,3,R3,2.6
2020,jardin,G_Chirai.Obak,1,R1,1.9
2020,jardin,G_Chirai.Obak,1,R2,1.5
2020,jardin,G_Chirai.Obak,1,R3,2.7
2020,jardin,G_Chirai.Obak,2,R1,2.7
2020,jardin,G_Chirai.Obak,2,R2,2.6
2020,jardin,G_Chirai.Obak,2,R3,2.5
2020,jardin,G_Chirai.Obak,3,R1,3.1
2020,jardin,G_Chirai.Obak,3,R2,2.3
2020,jardin,G_Chirai.Obak,3,R3,2.9
2020,jardin,G_Big.Red,1,R1,1.9
2020,jardin,G_Big.Red,1,R2,1.3
2020,jardin,G_Big.Red,1,R3,1.5
2020,jardin,G_Big.Red,2,R1,1.9
2020,jardin,G_Big.Red,2,R2,2.2
2020,jardin,G_Big.Red,2,R3,2.5
2020,jardin,G_Big.Red,3,R1,1.2
2020,jardin,G_Big.Red,3,R2,1.1
2020,jardin,G_Big.Red,3,R3,1.4
2020,jardin,G_Chaselas.Musque,1,R1,2.3
2020,jardin,G_Chaselas.Musque,1,R2,2.6
2020,jardin,G_Chaselas.Musque,1,R3,2.8
2020,jardin,G_Chaselas.Musque,2,R1,2.9
2020,jardin,G_Chaselas.Musque,2,R2,2.3
2020,jardin,G_Chaselas.Musque,2,R3,3.1
2020,jardin,G_Chaselas.Musque,3,R1,2.9
2020,jardin,G_Chaselas.Musque,3,R2,3.1
2020,jardin,G_Chaselas.Musque,3,R3,3.3
2020,jardin,G_Superior,1,R1,2.8
2020,jardin,G_Superior,1,R2,1.5
2020,jardin,G_Superior,2,R1,2
2020,jardin,G_Superior,2,R2,2.2
2020,jardin,G_Superior,2,R3,1.5
2020,jardin,G_Dawn,1,R1,0.5
2020,jardin,G_Dawn,1,R2,0.2
2020,jardin,G_Dawn,1,R3,0.4
2020,jardin,G_Dawn,2,R1,2.3
2020,jardin,G_Dawn,2,R2,2.4
2020,jardin,G_Dawn,2,R3,2
2020,jardin,G_Queen,1,R1,2.5
2020,jardin,G_Queen,1,R2,2.7
2020,jardin,G_Queen,1,R3,3.4
2020,jardin,G_Queen,2,R1,2.9
2020,jardin,G_Queen,2,R2,3.6
2020,jardin,G_Queen,2,R3,3.6
2020,jardin,G_Queen,3,R1,3
2020,jardin,G_Queen,3,R2,2.7
2020,jardin,G_Queen,3,R3,3.3
2020,jardin,G_Monukka,1,R1,2.1
2020,jardin,G_Monukka,1,R2,2.8
2020,jardin,G_Monukka,1,R3,1.7
2020,jardin,G_Monukka,2,R1,0.6
2020,jardin,G_Monukka,2,R2,0.7
2020,jardin,G_Monukka,2,R3,0.1
2020,jardin,G_Pervenetz,1,R1,1.2
2020,jardin,G_Pervenetz,1,R2,1.1
2020,jardin,G_Pervenetz,1,R3,1
2020,jardin,G_Pervenetz,2,R1,1.1
2020,jardin,G_Pervenetz,2,R2,1.4
2020,jardin,G_Pervenetz,2,R3,1
2020,jardin,G_Pervenetz,3,R1,1.5
2020,jardin,G_Pervenetz,3,R2,1.3
2020,jardin,G_Pervenetz,3,R3,1.1
2020,jardin,G_Beauty,1,R1,0.2
2020,jardin,G_Beauty,1,R2,0.1
2020,jardin,G_Beauty,1,R3,0.6
2020,jardin,G_Beauty,2,R1,0.8
2020,jardin,G_Beauty,2,R2,0.2
2020,jardin,G_Beauty,2,R3,0.5
2020,jardin,G_Beauty,3,R1,0.7
2020,jardin,G_Beauty,3,R2,0.9
2020,jardin,G_Beauty,3,R3,1.4
2020,jardin,G_Cardinal,1,R1,2
2020,jardin,G_Cardinal,1,R2,3
2020,jardin,G_Cardinal,1,R3,2.6
2020,jardin,G_Cardinal,2,R1,2.3
2020,jardin,G_Cardinal,2,R2,2.7
2020,jardin,G_Cardinal,2,R3,3
2020,jardin,G_Cardinal,3,R1,2.7
2020,jardin,G_Cardinal,3,R2,3
2020,jardin,G_Cardinal,3,R3,1.7
2020,jardin,G_Assyl.Kara,1,R1,2.6
2020,jardin,G_Assyl.Kara,1,R2,2.2
2020,jardin,G_Assyl.Kara,1,R3,2.9
2020,jardin,G_Assyl.Kara,2,R1,2.8
2020,jardin,G_Assyl.Kara,2,R2,2.3
2020,jardin,G_Assyl.Kara,2,R3,2.7
2020,jardin,G_Assyl.Kara,3,R1,2.4
2020,jardin,G_Assyl.Kara,3,R2,2.1
2020,jardin,G_Assyl.Kara,3,R3,3
