season,family,gid,plant,replicated,B_width,soluble_solids,S_dry
2020,jardin,G_AG.Isioum,1,R3,1.28,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.24,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.38,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.17,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.32,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.31,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.33,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.14,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.36,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.16,16,0.031869999999999996
2020,jardin,G_Agourane,1,R1,1.3,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.53,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.5,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.7,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.52,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.58,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.45,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.51,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.8,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.44,17,0.058589999999999996
2020,jardin,G_Agourane,1,R2,1.32,15,0.03828
2020,jardin,G_Agourane,1,R2,1.42,15,0.03828
2020,jardin,G_Agourane,1,R2,1.4,15,0.03828
2020,jardin,G_Agourane,1,R2,1.24,15,0.03828
2020,jardin,G_Agourane,1,R2,1.38,15,0.03828
2020,jardin,G_Agourane,1,R2,1.09,15,0.03828
2020,jardin,G_Agourane,1,R2,1.54,15,0.03828
2020,jardin,G_Agourane,1,R2,1.33,15,0.03828
2020,jardin,G_Agourane,1,R2,1.34,15,0.03828
2020,jardin,G_Agourane,1,R2,1.44,15,0.03828
2020,jardin,G_Agourane,1,R3,1.24,16,0.04553
2020,jardin,G_Agourane,1,R3,1.69,16,0.04553
2020,jardin,G_Agourane,1,R3,1.53,16,0.04553
2020,jardin,G_Agourane,1,R3,1.63,16,0.04553
2020,jardin,G_Agourane,1,R3,1.73,16,0.04553
2020,jardin,G_Agourane,1,R3,1.46,16,0.04553
2020,jardin,G_Agourane,1,R3,1.5,16,0.04553
2020,jardin,G_Agourane,1,R3,1.38,16,0.04553
2020,jardin,G_Agourane,1,R3,1.59,16,0.04553
2020,jardin,G_Agourane,1,R3,1.66,16,0.04553
2020,jardin,G_Agourane,2,R1,1.51,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.65,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.7,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.79,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.59,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.63,17,0.062240000000000004
2020,jardin,G_Agourane,2,R1,1.53,17,0.062240000000000004
2020,jardin,G_Agourane,2,R2,1.5,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.59,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.55,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.47,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.46,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.49,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.36,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.67,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.3,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.44,16,0.04107000000000001
2020,jardin,G_Agourane,2,R3,1.67,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.57,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.66,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.51,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.52,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.48,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.56,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.65,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.62,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.6,15,0.07616999999999999
2020,jardin,G_Agourane,3,R1,1.47,22,0.06601
2020,jardin,G_Agourane,3,R1,1.69,22,0.06601
2020,jardin,G_Agourane,3,R1,1.37,22,0.06601
2020,jardin,G_Agourane,3,R1,1.35,22,0.06601
2020,jardin,G_Agourane,3,R1,1.58,22,0.06601
2020,jardin,G_Agourane,3,R1,1.62,22,0.06601
2020,jardin,G_Agourane,3,R1,1.53,22,0.06601
2020,jardin,G_Agourane,3,R1,1.63,22,0.06601
2020,jardin,G_Agourane,3,R1,1.64,22,0.06601
2020,jardin,G_Agourane,3,R1,1.55,22,0.06601
2020,jardin,G_AK.ouziom,1,R1,2.04,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.86,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.92,20,0.05452
