season,family,gid,plant,replicated,S_fresh
2020,jardin,G_Centennial,1,R1,0.011160000000000003
2020,jardin,G_Centennial,1,R2,0.012780000000000003
2020,jardin,G_Centennial,1,R3,0.006140000000000001
2020,jardin,G_Centennial,2,R1,0.007190000000000002
2020,jardin,G_Centennial,2,R2,0.0071700000000000045
2020,jardin,G_Centennial,3,R1,0.0068000000000000005
2020,jardin,G_Centennial,3,R2,0.0028200000000000005
2020,jardin,G_AG.Isioum,1,R1,0.04699
2020,jardin,G_AG.Isioum,1,R2,0.04912
2020,jardin,G_AG.Isioum,1,R3,0.07226
2020,jardin,G_Csaba.Gyangye,1,R1,0.04783
2020,jardin,G_Csaba.Gyangye,1,R2,0.051859999999999996
2020,jardin,G_Csaba.Gyangye,2,R1,0.04412
2020,jardin,G_Csaba.Gyangye,2,R2,0.032889999999999996
2020,jardin,G_Csaba.Gyangye,2,R3,0.06967999999999999
2020,jardin,G_Csaba.Gyangye,3,R1,0.052469999999999996
2020,jardin,G_Ilusion,1,R1,0.07912
2020,jardin,G_Ilusion,1,R2,0.10288
2020,jardin,G_Ilusion,2,R1,0.10064
2020,jardin,G_Ilusion,2,R2,0.14035999999999998
2020,jardin,G_Ilusion,2,R3,0.06956999999999999
2020,jardin,G_Ilusion,3,R1,0.10110999999999999
2020,jardin,G_Ilusion,3,R2,0.08207
2020,jardin,G_Ilusion,3,R3,0.13115000000000002
2020,jardin,G_Chirai.Obak,1,R1,0.0794
2020,jardin,G_Chirai.Obak,1,R2,0.07425
2020,jardin,G_Chirai.Obak,1,R3,0.12868
2020,jardin,G_Chirai.Obak,2,R1,0.12976000000000001
2020,jardin,G_Chirai.Obak,2,R2,0.13044
2020,jardin,G_Chirai.Obak,2,R3,0.12196
2020,jardin,G_Chirai.Obak,3,R1,0.16182
2020,jardin,G_Chirai.Obak,3,R2,0.11383000000000001
2020,jardin,G_Chirai.Obak,3,R3,0.12048
2020,jardin,G_Big.Red,1,R1,0.05523
2020,jardin,G_Big.Red,1,R2,0.038279999999999995
2020,jardin,G_Big.Red,1,R3,0.026419999999999992
2020,jardin,G_Big.Red,2,R1,0.05045999999999999
2020,jardin,G_Big.Red,2,R2,0.04638
2020,jardin,G_Big.Red,2,R3,0.058429999999999996
2020,jardin,G_Big.Red,3,R1,0.025390000000000003
2020,jardin,G_Big.Red,3,R2,0.027889999999999998
2020,jardin,G_Big.Red,3,R3,0.029740000000000006
2020,jardin,G_Chaselas.Musque,1,R1,0.10211
2020,jardin,G_Chaselas.Musque,1,R2,0.11337
2020,jardin,G_Chaselas.Musque,1,R3,0.12176999999999998
2020,jardin,G_Chaselas.Musque,2,R1,0.14685
2020,jardin,G_Chaselas.Musque,2,R2,0.10994
2020,jardin,G_Chaselas.Musque,2,R3,0.15072
2020,jardin,G_Chaselas.Musque,3,R1,0.12040999999999999
2020,jardin,G_Chaselas.Musque,3,R2,0.13079000000000002
2020,jardin,G_Chaselas.Musque,3,R3,0.14204999999999998
2020,jardin,G_Superior,1,R1,0.05561000000000001
2020,jardin,G_Superior,1,R2,0.029600000000000005
2020,jardin,G_Superior,2,R1,0.02263
2020,jardin,G_Superior,2,R2,0.030749999999999993
2020,jardin,G_Superior,2,R3,0.01914
2020,jardin,G_Dawn,1,R1,0.004910000000000003
2020,jardin,G_Dawn,1,R2,0.0017600000000000005
2020,jardin,G_Dawn,1,R3,0.004599999999999998
2020,jardin,G_Dawn,2,R1,0.006219999999999998
2020,jardin,G_Dawn,2,R2,0.023679999999999996
2020,jardin,G_Dawn,2,R3,0.007840000000000003
2020,jardin,G_Queen,1,R1,0.22488999999999998
2020,jardin,G_Queen,1,R2,0.21460999999999997
2020,jardin,G_Queen,1,R3,0.25039
2020,jardin,G_Queen,2,R1,0.20950000000000002
2020,jardin,G_Queen,2,R2,0.28645
2020,jardin,G_Queen,2,R3,0.17904
2020,jardin,G_Queen,3,R1,0.21421
2020,jardin,G_Queen,3,R2,0.21120999999999998
2020,jardin,G_Queen,3,R3,0.22600000000000003
2020,jardin,G_Monukka,1,R1,0.005369999999999997
2020,jardin,G_Monukka,1,R2,0.021329999999999998
2020,jardin,G_Monukka,1,R3,0.006190000000000001
2020,jardin,G_Monukka,2,R1,0.019049999999999994
2020,jardin,G_Monukka,2,R2,0.0074300000000000034
2020,jardin,G_Monukka,2,R3,0.0060599999999999985
2020,jardin,G_Pervenetz,1,R1,0.0673
2020,jardin,G_Pervenetz,1,R2,0.05673
2020,jardin,G_Pervenetz,1,R3,0.049069999999999996
2020,jardin,G_Pervenetz,2,R1,0.055279999999999996
2020,jardin,G_Pervenetz,2,R2,0.07501
2020,jardin,G_Pervenetz,2,R3,0.04665
2020,jardin,G_Pervenetz,3,R1,0.06448000000000001
2020,jardin,G_Pervenetz,3,R2,0.059739999999999994
2020,jardin,G_Pervenetz,3,R3,0.0633
2020,jardin,G_Beauty,1,R1,0.0012900000000000023
2020,jardin,G_Beauty,1,R2,7.89999999999999e-4
2020,jardin,G_Beauty,1,R3,0.002909999999999996
2020,jardin,G_Beauty,2,R1,0.00871
2020,jardin,G_Beauty,2,R2,0.00801
2020,jardin,G_Beauty,2,R3,0.00919
2020,jardin,G_Beauty,3,R1,0.0033
2020,jardin,G_Beauty,3,R2,0.0028
2020,jardin,G_Beauty,3,R3,0.0038500000000000006
2020,jardin,G_Cardinal,1,R1,0.17273999999999998
2020,jardin,G_Cardinal,1,R2,0.25832
2020,jardin,G_Cardinal,1,R3,0.21585000000000001
2020,jardin,G_Cardinal,2,R1,0.19448
2020,jardin,G_Cardinal,2,R2,0.21216
2020,jardin,G_Cardinal,2,R3,0.23889999999999997
2020,jardin,G_Cardinal,3,R1,0.19458999999999999
2020,jardin,G_Cardinal,3,R2,0.21402000000000002
2020,jardin,G_Cardinal,3,R3,0.10511
2020,jardin,G_Assyl.Kara,1,R1,0.11939
2020,jardin,G_Assyl.Kara,1,R2,0.07658
2020,jardin,G_Assyl.Kara,1,R3,0.12911999999999998
2020,jardin,G_Assyl.Kara,2,R1,0.11022000000000001
2020,jardin,G_Assyl.Kara,2,R2,0.1091
2020,jardin,G_Assyl.Kara,2,R3,0.10455999999999999
2020,jardin,G_Assyl.Kara,3,R1,0.11939
2020,jardin,G_Assyl.Kara,3,R2,0.11363000000000001
2020,jardin,G_Assyl.Kara,3,R3,0.13725
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,0.06420000000000001
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,0.10071000000000001
2020,jardin,G_Moscatel.Oeiras.Faux,1,R3,0.09019999999999999
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,0.06917999999999999
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,0.07964
2020,jardin,G_Moscatel.Oeiras.Faux,2,R3,0.06414
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,0.05963
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,0.09667999999999999
2020,jardin,G_Moscatel.Oeiras.Faux,3,R3,0.07696
2020,jardin,G_Iniagrape.one,1,R1,0.002610000000000001
2020,jardin,G_Iniagrape.one,1,R2,0.045910000000000006
2020,jardin,G_Iniagrape.one,1,R3,0.015610000000000002
2020,jardin,G_Iniagrape.one,2,R1,0.00943
2020,jardin,G_Iniagrape.one,2,R2,0.031779999999999996
2020,jardin,G_Iniagrape.one,2,R3,0.00846
2020,jardin,G_Iniagrape.one,3,R1,0.00927
2020,jardin,G_Iniagrape.one,3,R2,0.029819999999999996
2020,jardin,G_Iniagrape.one,3,R3,0.013140000000000002
2020,jardin,G_23,1,R1,0.01531
2020,jardin,G_23,1,R2,0.02275
2020,jardin,G_23,1,R3,0.01069
2020,jardin,G_23,2,R1,0.027730000000000005
2020,jardin,G_23,2,R2,0.014690000000000003
2020,jardin,G_23,2,R3,0.010250000000000004
2020,jardin,G_23,3,R1,0.009789999999999998
2020,jardin,G_23,3,R2,0.013090000000000001
2020,jardin,G_23,3,R3,0.007469999999999999
2020,jardin,G_Duc.Magenta,1,R1,0.22547999999999999
2020,jardin,G_Duc.Magenta,1,R2,0.28091000000000005
2020,jardin,G_Duc.Magenta,2,R1,0.1316
2020,jardin,G_Duc.Magenta,2,R2,0.12785
2020,jardin,G_Duc.Magenta,2,R3,0.11638
2020,jardin,G_Duc.Magenta,3,R1,0.23232999999999998
2020,jardin,G_Duc.Magenta,3,R2,0.20813
2020,jardin,G_Duc.Magenta,3,R3,0.27886
2020,jardin,G_Pletchistik,1,R1,0.13362000000000002
2020,jardin,G_Pletchistik,1,R2,0.15674000000000002
2020,jardin,G_Pletchistik,1,R3,0.14501999999999998
2020,jardin,G_Pletchistik,2,R1,0.18836999999999998
2020,jardin,G_Pletchistik,2,R2,0.15825
2020,jardin,G_Pletchistik,2,R3,0.14233
2020,jardin,G_Pletchistik,3,R1,0.10432
2020,jardin,G_Pletchistik,3,R2,0.11273
2020,jardin,G_Pletchistik,3,R3,0.12550999999999998
2020,jardin,G_Canner,1,R1,0.0089
2020,jardin,G_Canner,1,R2,0.004200000000000004
2020,jardin,G_Canner,1,R3,0.0059900000000000005
2020,jardin,G_Canner,2,R1,0.003089999999999998
2020,jardin,G_Canner,2,R2,0.008079999999999999
2020,jardin,G_Canner,2,R3,0.004149999999999998
2020,jardin,G_Canner,3,R1,0.0032700000000000008
2020,jardin,G_Canner,3,R2,0.0011999999999999956
2020,jardin,G_Canner,3,R3,0.004070000000000002
2020,jardin,G_July.Muscat,1,R1,0.22401
2020,jardin,G_July.Muscat,1,R2,0.22519
2020,jardin,G_July.Muscat,1,R3,0.28997
2020,jardin,G_July.Muscat,2,R1,0.19571999999999998
2020,jardin,G_July.Muscat,2,R2,0.22276
2020,jardin,G_July.Muscat,2,R3,0.24343999999999996
2020,jardin,G_Ruby.Cabernet,1,R1,0.11337
2020,jardin,G_Ruby.Cabernet,1,R2,0.1423
2020,jardin,G_Ruby.Cabernet,1,R3,0.1062
2020,jardin,G_Ruby.Cabernet,2,R1,0.10349000000000001
2020,jardin,G_Ruby.Cabernet,2,R2,0.08876999999999999
2020,jardin,G_Ruby.Cabernet,2,R3,0.09178
2020,jardin,G_Ruby.Cabernet,3,R1,0.13064
2020,jardin,G_Ruby.Cabernet,3,R2,0.12517
2020,jardin,G_Ruby.Cabernet,3,R3,0.11522000000000002
2020,jardin,G_Portugais.Bleu,1,R1,0.10068000000000002
2020,jardin,G_Portugais.Bleu,1,R2,0.11288999999999998
2020,jardin,G_Portugais.Bleu,1,R3,0.11916
2020,jardin,G_Portugais.Bleu,2,R1,0.09777
2020,jardin,G_Magdalena,1,R1,0.06856999999999999
2020,jardin,G_Magdalena,1,R2,0.08180000000000001
2020,jardin,G_Magdalena,1,R3,0.07332
2020,jardin,G_Magdalena,2,R1,0.12808000000000003
2020,jardin,G_Magdalena,2,R2,0.09966
2020,jardin,G_Magdalena,2,R3,0.09762000000000001
2020,jardin,G_Magdalena,3,R1,0.09854
2020,jardin,G_Magdalena,3,R2,0.07066000000000001
2020,jardin,G_Magdalena,3,R3,0.09246
2020,jardin,G_Black,1,R1,0.02354
2020,jardin,G_Black,1,R2,0.037559999999999996
2020,jardin,G_Black,1,R3,0.018029999999999997
2020,jardin,G_Flame,1,R1,0.025049999999999996
2020,jardin,G_Flame,1,R2,0.022120000000000008
2020,jardin,G_Flame,1,R3,0.05001
2020,jardin,G_Flame,2,R1,0.03130000000000001
2020,jardin,G_Flame,2,R2,0.028189999999999993
2020,jardin,G_Flame,2,R3,0.02125000000000001
2020,jardin,G_Flame,3,R1,0.03776
2020,jardin,G_Flame,3,R2,0.02397
2020,jardin,G_Flame,3,R3,0.020290000000000002
2020,jardin,G_Cesar,1,R1,0.13182999999999997
2020,jardin,G_Cesar,1,R2,0.12033
2020,jardin,G_Cesar,1,R3,0.08748000000000002
2020,jardin,G_Cesar,2,R1,0.10593
2020,jardin,G_Cesar,2,R2,0.13982999999999998
2020,jardin,G_Cesar,2,R3,0.09603
2020,jardin,G_Cesar,3,R1,0.14233
2020,jardin,G_Cesar,3,R2,0.13753
2020,jardin,G_Cesar,3,R3,0.12223000000000002
2020,jardin,G_Chouchillon,1,R1,0.13953000000000002
2020,jardin,G_Chouchillon,1,R2,0.19033000000000003
2020,jardin,G_Chouchillon,1,R3,0.10933000000000001
2020,jardin,G_Lameiro,1,R1,0.12763
2020,jardin,G_Lameiro,1,R2,0.08733
2020,jardin,G_Lameiro,1,R3,0.1001
2020,jardin,G_Lameiro,2,R1,0.11063
2020,jardin,G_Lameiro,2,R2,0.0973
2020,jardin,G_Lameiro,2,R3,0.09119000000000001
2020,jardin,G_Lameiro,3,R1,0.10741
2020,jardin,G_Lameiro,3,R2,0.07603000000000001
2020,jardin,G_Lameiro,3,R3,0.015180000000000004
2020,jardin,G_Verdot,1,R1,0.14254000000000003
2020,jardin,G_Verdot,1,R2,0.11453000000000002
2020,jardin,G_Verdot,1,R3,0.15093
2020,jardin,G_Verdot,2,R1,0.15516000000000002
2020,jardin,G_Verdot,2,R2,0.15483000000000002
2020,jardin,G_Verdot,2,R3,0.18263000000000001
2020,jardin,G_Verdot,3,R1,0.17433
2020,jardin,G_Verdot,3,R2,0.21217000000000003
2020,jardin,G_Verdot,3,R3,0.19223000000000004
2020,jardin,G_Kyoho,1,R1,0.31593
2020,jardin,G_Kyoho,1,R2,0.35003
2020,jardin,G_Kyoho,1,R3,0.26903
2020,jardin,G_Kyoho,2,R1,0.31163
2020,jardin,G_Kyoho,2,R2,0.41202999999999995
2020,jardin,G_Kyoho,2,R3,0.27081
2020,jardin,G_Kyoho,3,R1,0.33203
2020,jardin,G_Kyoho,3,R2,0.26703
2020,jardin,G_Kyoho,3,R3,0.36903
2020,jardin,G_Delizia.di.Vaprio,1,R1,0.13112
2020,jardin,G_Delizia.di.Vaprio,1,R2,0.10988000000000002
2020,jardin,G_Delizia.di.Vaprio,1,R3,0.13262999999999997
2020,jardin,G_Delizia.di.Vaprio,2,R1,0.10133
2020,jardin,G_Delizia.di.Vaprio,2,R2,0.07883000000000001
2020,jardin,G_Delizia.di.Vaprio,2,R3,0.08293
2020,jardin,G_Delizia.di.Vaprio,3,R1,0.09423000000000001
2020,jardin,G_Delizia.di.Vaprio,3,R2,0.08653000000000001
2020,jardin,G_Delizia.di.Vaprio,3,R3,0.0743
2020,jardin,G_Orbois,1,R1,0.09308999999999999
2020,jardin,G_Orbois,1,R2,0.10682
2020,jardin,G_Orbois,1,R3,0.05233
2020,jardin,G_Orbois,2,R1,0.08573
2020,jardin,G_Orbois,2,R2,0.1689
2020,jardin,G_Orbois,2,R3,0.08528000000000001
2020,jardin,G_Orbois,3,R1,0.09492999999999999
2020,jardin,G_Orbois,3,R2,0.059710000000000006
2020,jardin,G_Orbois,3,R3,0.08573
2020,jardin,G_Patagonia,1,R1,0.09683
2020,jardin,G_Patagonia,1,R2,0.13763
2020,jardin,G_Patagonia,1,R3,0.08429
2020,jardin,G_Patagonia,2,R1,0.06543
2020,jardin,G_Patagonia,2,R2,0.08033
2020,jardin,G_Patagonia,2,R3,0.09503
2020,jardin,G_Patagonia,3,R1,0.057530000000000005
2020,jardin,G_Patagonia,3,R2,0.07455999999999999
2020,jardin,G_Plant.de.Maroc,1,R1,0.12403
2020,jardin,G_Plant.de.Maroc,1,R2,0.11581000000000001
2020,jardin,G_Plant.de.Maroc,1,R3,0.13343
2020,jardin,G_Plant.de.Maroc,2,R1,0.10603000000000003
2020,jardin,G_Plant.de.Maroc,3,R1,0.17503000000000002
2020,jardin,G_Plant.de.Maroc,3,R2,0.12203
2020,jardin,G_Plant.de.Maroc,3,R3,0.14683000000000002
2020,jardin,G_Autumn.Seedless,1,R1,0.024619999999999996
2020,jardin,G_Autumn.Seedless,1,R2,0.01099
2020,jardin,G_Autumn.Seedless,1,R3,0.009700000000000004
2020,jardin,G_Red.Globe,1,R1,0.21329000000000004
2020,jardin,G_Red.Globe,1,R2,0.20763000000000004
2020,jardin,G_Red.Globe,1,R3,0.15603000000000003
2020,jardin,G_Red.Globe,2,R1,0.09673
2020,jardin,G_Red.Globe,2,R2,0.17554000000000003
2020,jardin,G_Red.Globe,2,R3,0.13182999999999997
2020,jardin,G_Red.Globe,3,R1,0.13718
2020,jardin,G_Red.Globe,3,R2,0.13513999999999998
2020,jardin,G_Red.Globe,3,R3,0.09363
2020,jardin,G_Bogazkere,1,R1,0.12103000000000001
2020,jardin,G_Bogazkere,1,R2,0.12092999999999998
2020,jardin,G_Bogazkere,1,R3,0.11482999999999999
2020,jardin,G_Bogazkere,2,R1,0.131
2020,jardin,G_Bogazkere,2,R2,0.10393
2020,jardin,G_Bogazkere,2,R3,0.06735
2020,jardin,G_Bogazkere,3,R1,0.08138999999999999
2020,jardin,G_Bogazkere,3,R2,0.08189
2020,jardin,G_Bogazkere,3,R3,0.07172999999999999
2020,jardin,G_Olivette,1,R1,0.12433000000000001
2020,jardin,G_Olivette,1,R2,0.12793000000000002
2020,jardin,G_Olivette,1,R3,0.11013000000000002
2020,jardin,G_Olivette,2,R1,0.08802
2020,jardin,G_Olivette,2,R2,0.09067
2020,jardin,G_Olivette,2,R3,0.07053
2020,jardin,G_Olivette,3,R1,0.06639
2020,jardin,G_Olivette,3,R2,0.11257999999999999
2020,jardin,G_Fue.Fuki,1,R1,0.18233000000000002
2020,jardin,G_Fue.Fuki,1,R2,0.15633
2020,jardin,G_Fue.Fuki,1,R3,0.16223
2020,jardin,G_Fue.Fuki,2,R1,0.11954000000000002
2020,jardin,G_Fue.Fuki,2,R2,0.13153
2020,jardin,G_Fue.Fuki,2,R3,0.10303
2020,jardin,G_Fue.Fuki,3,R1,0.10802999999999999
2020,jardin,G_Fue.Fuki,3,R2,0.10101
2020,jardin,G_Fue.Fuki,3,R3,0.11972999999999998
2020,jardin,G_Voskeat,1,R1,0.19993000000000002
2020,jardin,G_Voskeat,1,R2,0.12483
2020,jardin,G_Voskeat,1,R3,0.14578000000000002
2020,jardin,G_Voskeat,2,R1,0.13340999999999997
2020,jardin,G_Voskeat,2,R2,0.13403
2020,jardin,G_Voskeat,2,R3,0.14108
2020,jardin,G_Voskeat,3,R1,0.15150999999999998
2020,jardin,G_Voskeat,3,R2,0.13725
2020,jardin,G_Voskeat,3,R3,0.14833
2020,jardin,G_Seleccion.5,1,R1,0
2020,jardin,G_Seleccion.5,1,R2,0
2020,jardin,G_Seleccion.5,1,R3,0
2020,jardin,G_Seleccion.5,2,R1,0
2020,jardin,G_Seleccion.5,2,R2,0
2020,jardin,G_Seleccion.5,2,R3,0
2020,jardin,G_Seleccion.5,3,R1,0
2020,jardin,G_Seleccion.5,3,R2,0
2020,jardin,G_Seleccion.5,3,R3,0
