season,family,gid,plant,replicated,B_height,S_dry,soluble_solids
2020,jardin,G_AG.Isioum,1,R1,1.33,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.73,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.22,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.26,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.83,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.54,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.56,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R1,1.7,0.02633000000000001,16
2020,jardin,G_AG.Isioum,1,R2,1.33,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.31,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.44,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.39,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.38,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.36,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.25,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.47,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.32,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R2,1.41,0.027549999999999998,16
2020,jardin,G_AG.Isioum,1,R3,1.61,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.4,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.63,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.42,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.52,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.58,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.49,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.25,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.54,0.031869999999999996,16
2020,jardin,G_AG.Isioum,1,R3,1.38,0.031869999999999996,16
2020,jardin,G_Agourane,1,R1,1.35,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.68,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.65,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.81,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.71,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.58,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.88,0.058589999999999996,17
2020,jardin,G_Agourane,1,R1,1.62,0.058589999999999996,17
2020,jardin,G_Agourane,1,R2,1.52,0.03828,15
2020,jardin,G_Agourane,1,R2,1.57,0.03828,15
2020,jardin,G_Agourane,1,R2,1.49,0.03828,15
2020,jardin,G_Agourane,1,R2,1.56,0.03828,15
2020,jardin,G_Agourane,1,R2,1.14,0.03828,15
